technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DAC,SI,1.4260863607841925e-06,1.6407722342196616e-06,1.8037936136297336e-06,2.0409934109395667e-06,2.2190213063732187e-06,2.377829564058954e-06,2.529078230154277e-06,2.684322911741083e-06,2.8319880732197923e-06,2.9664656987442076e-06,3.0760807997217237e-06,3.169276249117129e-06,3.2458447785482225e-06,3.356984230150329e-06,3.5105856194728963e-06,3.7117095234720518e-06,3.951080007667824e-06,4.2248028447898645e-06,4.504167891401268e-06,4.913020855255498e-06,4.7641718466990535e-06,5.1616071230460154e-06,5.52192086620164e-06,5.850775329240983e-06,6.262052418154051e-06,6.693806070709609e-06,7.245980558952568e-06,7.746476141947618e-06,8.223445218223668e-06,8.879557880200746e-06
DAC,SK,1.336217955641072e-06,1.6191945610829058e-06,1.7788324481323845e-06,1.976304483706283e-06,2.090257868836025e-06,2.2061159136842658e-06,2.319743548582664e-06,2.425727197607785e-06,2.5420669684933736e-06,2.6602489619576e-06,2.780943662219369e-06,2.899600335213151e-06,3.0420758218552385e-06,3.203081159349655e-06,3.3732873919326905e-06,3.566454997423042e-06,3.7857177878372534e-06,4.039128395957106e-06,4.305417417491451e-06,4.674354238239811e-06,4.553172354484162e-06,4.925825363143138e-06,5.295196889401051e-06,5.6522111487105235e-06,6.106525844901831e-06,6.580363792304458e-06,7.069484662495562e-06,7.489910861368164e-06,7.887248005592063e-06,8.449300468063274e-06
DAC,UK,1.4164774816197908e-06,1.6967398618362736e-06,1.861761836413025e-06,2.046495808001367e-06,2.1488740257367188e-06,2.2608692668107456e-06,2.390478199325817e-06,2.5354424833280757e-06,2.7141291946139488e-06,2.906190816597588e-06,3.1087151216166274e-06,3.269305884997957e-06,3.4580722311856554e-06,3.684767347022521e-06,3.955789998581996e-06,4.2559802878775276e-06,4.568561746863065e-06,4.867854433891815e-06,5.222062141332612e-06,5.6923573655190145e-06,5.680692670888764e-06,6.138689198474997e-06,6.520420885977815e-06,6.941839225327003e-06,7.572216890505689e-06,8.29694552666548e-06,9.180483409603825e-06,1.0002566706485716e-05,1.0455291600800774e-05,1.1140850439961737e-05
battery,AT,3.905070619527032e-06,3.908590306585369e-06,3.90984307773891e-06,3.5782229780383753e-06,3.2506361164285377e-06,3.5004832566214994e-06,3.6272342950295324e-06,4.022144252268615e-06,4.187968130174837e-06,4.287575528174172e-06,6.553768752720683e-06,6.68660440301845e-06,7.045741868259512e-06,7.549677236070159e-06,8.420425806376126e-06,1.0407857545566542e-05,1.0918080745269176e-05,1.0678285063917094e-05,1.1165581683480861e-05,1.2494635908086516e-05,1.8261216709444464e-05,2.1232177260255474e-05,2.3434888761470008e-05,2.6093917271467847e-05,2.940967755387506e-05,3.4917042863365904e-05,3.6667227291712964e-05,4.442182158312621e-05,5.3921403818798835e-05,6.359327212617966e-05
battery,BE,3.716295849394274e-06,3.7212592840530475e-06,3.7228536519447827e-06,3.407836808690494e-06,3.099689342222352e-06,3.527186051425826e-06,3.664272336029075e-06,3.9611461501260495e-06,4.137065743591509e-06,4.24462423326928e-06,6.473376118867502e-06,6.616043171387248e-06,6.849212571462761e-06,7.361648476740781e-06,7.792051441989966e-06,9.848741936291141e-06,1.0263926874798068e-05,1.0046707981293286e-05,1.080645257485817e-05,1.2160228501916458e-05,1.755593934113984e-05,1.990954219017374e-05,2.1775777643215996e-05,2.3851957533327824e-05,2.6127285248806067e-05,2.960236335948529e-05,3.07329232412816e-05,3.682955344187047e-05,4.462334909750097e-05,5.110553802235723e-05
battery,BG,3.700282850477045e-06,3.706233725243351e-06,3.707770804882286e-06,3.3940362109881324e-06,3.0864547743248173e-06,3.455208859456993e-06,3.5787997929503617e-06,3.775997058350024e-06,3.850029612777736e-06,4.023841796550001e-06,6.317020896301439e-06,6.289542858205141e-06,6.725248849121569e-06,7.154340620540249e-06,7.740935339610662e-06,9.51617855536983e-06,1.0274857635910032e-05,1.0281397697534905e-05,1.1825009739324637e-05,1.2672833547777263e-05,1.7654221637651494e-05,2.0123001958947605e-05,2.3712072566182683e-05,2.5566993632565657e-05,2.8590420418899898e-05,3.2654497569091956e-05,3.8599849180531395e-05,4.154086395507674e-05,5.190159144650598e-05,7.089262933831612e-05
battery,CH,3.783125176121149e-06,3.7875345100765686e-06,3.7889519166984025e-06,3.468015529594923e-06,3.1533196170281497e-06,3.497267053928735e-06,3.633848079927118e-06,3.9331355548013e-06,4.115272804298957e-06,4.1636885637070054e-06,6.731710032976994e-06,6.768797728958604e-06,7.2034137169284605e-06,7.697056837140274e-06,8.339953908991349e-06,1.0718249496933826e-05,1.122063054267099e-05,1.0975374513351379e-05,1.1595127928460031e-05,1.2953562666415641e-05,1.894745786986687e-05,2.244472104502314e-05,2.5032878274371575e-05,2.8294227950016383e-05,3.2030159626881154e-05,3.832465629905554e-05,4.165368472447727e-05,4.5714621621861715e-05,5.629036463782133e-05,6.493856702200653e-05
battery,CZ,3.93052351933764e-06,3.934076821192968e-06,3.93533276498161e-06,3.601560067646117e-06,3.272006694987384e-06,3.5777359065635476e-06,3.7189794026113476e-06,4.046413142635433e-06,4.17447555074603e-06,4.309710478710666e-06,6.654921807402577e-06,6.74857512520075e-06,7.044120209194975e-06,7.568569211635839e-06,8.271570327796653e-06,1.0529003416337998e-05,1.11663516957216e-05,1.0920813530067543e-05,1.1656140756427782e-05,1.293423330418869e-05,1.9073355862360374e-05,2.5540843423444874e-05,2.8567760563152374e-05,3.139108808077954e-05,3.5815386537757255e-05,4.297779263320627e-05,4.76155707074407e-05,5.697931591828585e-05,6.669147867827969e-05,7.737680881893307e-05
battery,DE,3.7437500840183974e-06,3.7469655426577584e-06,3.748323670000253e-06,3.4305202340487666e-06,3.1150944239969055e-06,3.4643282457856445e-06,3.6052549721854457e-06,3.868309586005202e-06,3.971147008259321e-06,4.0939651258323205e-06,6.4123991513737175e-06,6.481567342548462e-06,6.823418763632202e-06,7.3799388823934625e-06,7.953058362232029e-06,1.0015054890197098e-05,1.047058892093515e-05,1.0241866773215386e-05,1.0818194550991286e-05,1.2171590695552677e-05,1.7670176013122976e-05,1.982265220427845e-05,2.1698254988755376e-05,2.4222483936498123e-05,2.7520290899657123e-05,3.266145101137488e-05,3.339216960805069e-05,3.9638129556331004e-05,4.804382158123827e-05,5.564403454215351e-05
battery,DK,3.95819066539353e-06,3.960395629705584e-06,3.961561991545912e-06,3.625466440002638e-06,3.293987536369305e-06,3.6022100597862174e-06,3.7153931534126356e-06,3.972574661759444e-06,4.075603038608759e-06,4.267545023479397e-06,6.52458508329917e-06,6.6412673442930865e-06,7.025312502171727e-06,7.461213092109118e-06,7.813352769762667e-06,1.0110036507014649e-05,1.0555312135902426e-05,1.0316835477523462e-05,1.0569262470767847e-05,1.1736793352241807e-05,1.7296285983147298e-05,1.9524086210784545e-05,2.1083419421110027e-05,2.3402839786397215e-05,2.5717807045184812e-05,2.8516931043669864e-05,3.167354016449253e-05,3.789821784276902e-05,4.2385930483998216e-05,4.910347576612848e-05
