technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11
wind_onshore,power,CZ,7.7959,7.7959,7.7959,7.7959,7.7936,10.192,12.0518,12.339,16.0132,16.2477,16.5029,16.4988
wind_onshore,power,DE,55.5324,55.091,53.8138,52.3308,49.567,46.6289,43.5796,41.5299,39.5467,36.905,35.1662,35.4869
wind_onshore,power,DK,6.9417,6.9281,6.9045,6.8716,6.8568,6.8013,6.8184,7.3329,7.8542,8.141,8.5343,9.7357
wind_onshore,power,EE,0.3485,0.3485,0.3485,0.3485,0.3485,0.3462,0.3462,0.3462,0.3151,0.3151,0.2888,0.3372
wind_onshore,power,EL,9.5269,9.5167,9.4927,9.3979,9.213,9.9938,10.2768,11.6855,14.5201,14.4132,15.5827,15.8278
wind_onshore,power,ES,28.4037,28.133,27.7328,26.8655,25.8804,26.7614,36.5043,42.8595,47.4702,48.0716,48.5289,49.954
wind_onshore,power,FI,18.8924,18.8924,18.8848,18.8848,18.8848,21.1419,24.0495,24.8477,27.1435,27.1295,27.8006,28.2921
wind_onshore,power,FR,20.5912,20.5837,20.5793,20.5574,20.542,20.502,20.4289,20.2806,26.0399,30.6682,35.7828,39.1632
wind_onshore,power,HR,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9801,0.9689,0.9689,0.9689
wind_onshore,power,HU,13.143,13.143,13.143,13.143,13.1424,13.5532,15.7753,18.794,18.9756,19.9519,20.5992,21.8398
wind_onshore,power,IE,8.2165,8.2019,8.1933,8.1452,8.1354,8.1235,8.6453,9.9564,10.5292,10.7758,12.1977,12.3258
wind_onshore,power,IT,11.7145,11.7145,11.6887,11.4403,11.2871,11.2343,10.7574,10.3494,16.5127,26.8452,43.1262,56.3351
wind_onshore,power,LT,7.8763,7.8763,7.8763,7.8763,7.8763,7.8851,7.8851,7.8844,7.8844,7.8833,7.8372,8.2819
wind_onshore,power,LU,0.1416,0.1416,0.1366,0.1366,0.1366,0.1354,0.1354,0.1342,0.1342,0.1342,0.1342,0.1262
