technology,capacity_type,location,0,1,2,3,4,5
biomass_boiler,power,CZ,5.914258541274369e-11,1.1279106786784911e-10,2.508308721425775,0.9931072380789119,6.2305371714133356e-09,6.285251769738415e-09
biomass_boiler,power,DE,2.650926616474214e-10,0.10655353432559403,3.7572890281171647,6.161892071147212e-09,6.186721034782458e-10,5.706838822499578e-09
biomass_boiler,power,DK,5.698622454273453e-09,0.36021018446954045,4.695088586519453e-10,4.4170034520157277e-10,6.877781018987787e-10,3.304198064519841e-09
biomass_boiler,power,EE,0.19246224547619054,0.3473785979201536,0.2751981061077829,0.4313585219470139,0.2772563708813839,0.41999080044756276
biomass_boiler,power,EL,4.6385534228681836e-11,9.955831040245473e-11,1.4731861411946938e-09,3.6205512915757816e-08,3.106069288090957e-09,7.7577603377799e-08
biomass_boiler,power,ES,7.253338370271242e-11,7.992034463428759e-11,9.178619674361842e-11,1.6222557279784152e-10,2.490754832377188e-10,1.7873991607524401e-09
biomass_boiler,power,FI,1.627121228511084,9.325805824384723e-09,0.7925508667206205,2.0170106645551545e-09,1.1941896145466128e-09,1.1264802986779339
biomass_boiler,power,FR,1.6352751782751545e-10,0.010775987877331236,7.724272482854903e-10,7.118638893742501e-10,8.328906454304895e-10,1.9664631606962784e-07
biomass_boiler,power,HR,5.432989545432637e-11,1.1848896131666949e-10,1.2544845118015866,1.212700688925224e-09,9.44930547530538e-10,3.40771419656608e-09
biomass_boiler,power,HU,1.0185406628915626e-10,2.7712229635993087e-09,1.7001037841563062e-07,1.6403705408958218e-09,1.2035270400249936e-09,9.509160861907054e-08
biomass_boiler,power,IE,2.298900813833194e-09,6.044253024138377e-09,5.971950623968909e-10,1.7839154295833147e-08,3.0536542553216485e-09,5.6742990168494346e-08
biomass_boiler,power,IT,1.2324229483361228e-10,5.005868162926987,1.7880606523281788e-09,1.0915146657013794e-09,6.636000266040063e-10,4.9230043209997105e-09
biomass_boiler,power,LT,0.01525207087496098,0.009221842923675894,1.2626081515447576e-09,7.888782023425868e-10,8.908702379564012e-10,3.682127849255175e-09
biomass_boiler,power,LU,0.16470244780070592,2.3729630810293644e-10,0.03027672290461322,0.017335287063802007,0.16470142012054031,6.6311230382486374e-09
biomass_boiler,power,LV,6.7826115551945814e-09,0.13979659638597922,0.5693201902561893,0.5725200171883804,1.9509750058258867e-09,1.0014839137644282e-08
biomass_boiler,power,NL,0.7190707023958616,2.2109066316179837e-10,1.7063004555193522e-09,1.6486860077481282e-08,3.3393620540363483e-09,9.701301175365938e-08
biomass_boiler,power,NO,5.6646907125310274e-11,8.477508719920795e-11,2.999692164343573e-10,2.5793661051384257e-10,2.8575948410689447e-10,1.6627890653138986e-09
biomass_boiler,power,PL,4.0199632576027765e-11,5.934169086717077e-11,1.3739603376567073e-10,7.365894930641483,2.7909197060603892e-09,8.867539169534907e-09
biomass_boiler,power,PT,6.37797840158497e-11,6.287083604466915e-11,7.319881935990875e-11,1.7769840611314124e-10,2.799155747690601e-10,1.565746747054769e-09
biomass_boiler,power,RO,0.9413428892827995,1.6764129510921795,6.262485829003511e-10,5.751233954619182e-10,9.217996581880439e-10,2.5011229684466514e-07
biomass_boiler,power,SE,3.0856021077376177,4.998906868534525e-10,3.4480436980489675e-10,3.0576355883653627e-10,3.476343392294493e-10,1.8689768834996585e-09
biomass_boiler,power,SI,5.167261554473287e-11,1.1641761121702008e-10,0.13406641692679827,9.444500494335365e-09,1.997799933726625e-09,4.832268193619515e-09
biomass_boiler,power,SK,0.04945961000842837,0.01721312390986009,0.09731658432383271,1.24925874313909,0.04945958875743019,6.429908207872644e-08
biomass_boiler,power,UK,1.1906507050941178e-10,1.5078034766028498e-10,2.1181320325808794e-10,3.3062768525689864e-08,4.125664442746569e-09,1.1703378129258078e-07
biomass_plant,power,AT,8.184136885605828e-12,1.1957973778669833e-11,1.7422710832332426e-11,2.929286654641369e-11,6.747620362606087e-11,6.114533358982673e-10
biomass_plant,power,BE,6.9267578792365015e-12,9.60344429332385e-12,1.6238809941336233e-11,2.4570979709642256e-11,5.364516298150238e-11,4.641988473907594e-10
biomass_plant,power,BG,8.292567339757916e-12,1.3048773881608107e-11,2.341034423120819e-11,6.355459051944536e-11,4.831883117292092e-09,2.4228041969665994e-08
