technology,location,0,1,2,3,4,5
battery,BG,1.6272417292657007e-07,1.823760335562381e-07,2.9737605674697953e-07,3.8823460870917105e-07,7.546995284355463e-07,6.967702515385443e-06
battery,CH,1.686381705402445e-07,1.856174230536758e-07,3.398778282759981e-07,4.184288201862822e-07,9.695302743837401e-07,8.121409619578485e-06
battery,CZ,1.699315380371543e-07,1.87587882795469e-07,3.198848735504683e-07,4.0845339085480955e-07,1.001453853984222e-06,9.393134499077538e-06
battery,DE,1.7902218345536838e-07,1.959577379987968e-07,3.293250884047093e-07,4.1241574096213015e-07,8.732287368219369e-07,6.5300347895460635e-06
battery,DK,1.706870781695443e-07,1.8261930639100746e-07,3.102094921340955e-07,4.013435689913025e-07,7.903218215225913e-07,5.899337224814072e-06
battery,EE,1.7121862038047295e-07,1.857845057713667e-07,3.1945796668327216e-07,3.996512698627977e-07,7.823298085179685e-07,5.822785688051375e-06
battery,EL,1.673360361826465e-07,1.797891995612374e-07,2.8370032403834184e-07,4.1753166490177304e-07,8.839641410624927e-07,9.148194864220911e-06
battery,ES,1.5826578958065884e-07,1.7535606515897432e-07,2.5119748413933465e-07,3.6008374177798467e-07,7.643526160833632e-07,5.078332836236467e-06
battery,FI,1.7023357639107263e-07,1.8744122117627677e-07,3.157662119644058e-07,3.798049890306392e-07,7.956847538413197e-07,5.928051720687929e-06
battery,FR,1.6395877091889555e-07,1.8476552516721116e-07,2.5886130859595296e-07,3.4674024557961404e-07,6.824546361768512e-07,5.186505777257008e-06
battery,HR,1.683102377315091e-07,1.7682109529139754e-07,3.5398709314539823e-07,4.4235285559960035e-07,9.370858219714605e-07,7.582736290955291e-06
battery,HU,1.6569346251697468e-07,1.798705022866611e-07,3.1150718154515544e-07,4.306484156445891e-07,8.962105728764541e-07,7.565948761659671e-06
battery,IE,1.6262563377373083e-07,1.847554761938929e-07,2.693316658448219e-07,3.4280983289356884e-07,6.229665642333715e-07,4.4703919833104815e-06
battery,IT,1.6852918943830936e-07,1.8207874269999561e-07,3.0987761420585187e-07,4.4555030300725886e-07,8.472237924842653e-07,6.891795536460426e-06
battery,LT,1.697234277093696e-07,1.8424614219305591e-07,2.864510880828305e-07,3.8421669205108556e-07,7.282280537841465e-07,5.733485541709288e-06
battery,LU,1.608001170758405e-07,1.8141740413882296e-07,2.923167959779121e-07,3.5026518703083124e-07,7.218295150375511e-07,5.859630358751433e-06
battery,LV,1.6998796388747112e-07,1.8432735726567406e-07,2.998064591239969e-07,3.894306707051641e-07,7.590657832813025e-07,5.988585269513851e-06
battery,NL,1.6750422124780743e-07,1.9078757680197114e-07,3.282975562038024e-07,3.9799917645368257e-07,7.953695122357995e-07,6.591693337321321e-06
battery,NO,1.662237790031984e-07,1.8325298513174595e-07,2.7006612587083114e-07,3.597651098076889e-07,6.758253988504903e-07,5.083471855629248e-06
battery,PL,1.714040221034412e-07,1.9644360975573465e-07,3.183870253597455e-07,4.2943403483443595e-07,8.580850704411832e-07,7.642610950415215e-06
battery,PT,1.6100920333317938e-07,1.753908289918089e-07,2.6798539166529214e-07,3.5237091730563836e-07,6.585846127327246e-07,4.584603976427863e-06
battery,RO,1.6414072535666289e-07,1.795801534010904e-07,2.9978424112323597e-07,3.928743128970636e-07,9.024677768382105e-07,9.256555190438195e-06
battery,SE,1.6963957390244885e-07,1.8734804204161943e-07,2.9234173679074155e-07,3.8206950029031135e-07,7.662577472994775e-07,5.96473341327821e-06
battery,SI,1.6782618550069697e-07,1.7891409484618706e-07,3.4950201300013414e-07,4.35691798575419e-07,9.971158125190983e-07,8.643599259911972e-06
battery,SK,1.6874599400158202e-07,1.863162129585543e-07,3.3320895733093284e-07,4.1836052245363414e-07,1.0293017464193156e-06,9.886554179431736e-06
battery,UK,1.6378571064442747e-07,1.895229117258007e-07,2.706904851261606e-07,3.5843961468240744e-07,6.737457431996292e-07,4.822808372702375e-06
biomass_boiler,AT,56.65076576184861,19.26433970512429,49.64632378044739,46.65901929954053,49.36799759136633,53.26888589386694
biomass_boiler,BE,20.98386828094337,12.11136402756585,2.8354762833150944,5.722482145264269e-07,5.704777443767101e-07,1.36913453686784e-06
biomass_boiler,BG,35.36286405026061,30.910620370954042,27.302905955061696,11.85109726883188,11.62479505937168,12.489979238555753
biomass_boiler,CH,76.7568845702068,48.79982556256926,50.473669745473714,46.74078850621702,45.84825143290675,49.62812970011253
biomass_boiler,CZ,69.24267738940222,48.93378429368726,49.63488356732146,44.518453235242774,43.668352735023774,46.91840293306455
biomass_boiler,DE,281.11056880506436,180.56828069424935,151.62591109017015,56.55033489749635,55.47047995508498,58.327987960954815
biomass_boiler,DK,32.67392366139367,22.29329461030078,16.512755569210153,9.1906442592592,9.01514457730713,5.389672453197572
biomass_boiler,EE,16.459856355569936,16.31170878982705,16.871203760360718,15.267083614150591,15.916880077454449,17.96759280585005
biomass_boiler,EL,37.365437746242236,37.0291287781797,3.098046442931063,4.28069989510878e-07,4.5386238738805707e-07,1.4117673120894287e-06
biomass_boiler,ES,46.48845700572563,20.21737969634636,2.842603186918266,0.372019007408255,0.3649151334107507,0.39207423812568126
biomass_boiler,FI,46.532202391893364,31.489749872456514,33.93705157327977,29.566100909921893,10.938294403870115,25.188554345822446
biomass_boiler,FR,192.43214730026463,116.68548421426591,26.048963429087813,0.12195675839640759,0.1196279448092172,2.3731452454690965e-06
biomass_boiler,HR,37.193984168435236,28.64908505541724,18.61292850911,15.325058395700948,15.032419288392598,16.151218484027645
biomass_boiler,HU,48.391298817398756,26.035834732462376,1.9939601156673994e-06,1.975161550095044e-06,1.94967496942644e-06,3.1959385857285448e-06
biomass_boiler,IE,1.341485119580407,1.077260131778855,0.23093564303901395,3.030739256938202e-07,3.056653636469301e-07,9.331273227644952e-07
biomass_boiler,IT,235.8410217086995,143.72711806021852,78.96704231051187,56.77226758791901,55.68817474189196,0.12498139595591773
biomass_boiler,LT,19.15694589557912,17.79934018889713,13.207980996107029,3.2825739782711705,3.0505732673952197,3.1676203809560786
biomass_boiler,LU,2.3890387740751153,2.310787447332088,2.4487431692574497,2.40285896710523,2.35696384903847,2.53238273948656
biomass_boiler,LV,16.061424193451913,15.644818842703259,16.18143918510308,15.068009162375454,14.78027845892599,14.212878694688909
biomass_boiler,NL,29.30703731315117,24.259463713448735,16.304006129343474,10.078822187701139,1.9037131538581684,2.045399597305882
biomass_boiler,NO,15.104005713940543,12.425886916257934,6.898749283224851,1.9766239361511768,1.9388793853856858,2.083181966497986
biomass_boiler,PL,173.97121481552608,167.19399047784188,111.08557488565037,94.23389002867314,92.43445010812353,99.3139539566
biomass_boiler,PT,7.67186785788678,3.4779812007612247,0.7186491091863619,0.1123281675822817,0.11018321138256316,0.11838369801376206
biomass_boiler,RO,54.03866056669721,53.55228360539914,49.960450313261035,29.62632953354925,18.61043232492151,3.0085515448195004e-06
biomass_boiler,SE,55.484886421176085,52.12054035267743,42.75991816225344,40.453149040762916,5.426355289583633,5.830215895718247
biomass_boiler,SI,15.30671814128631,8.429629497461706,7.304099518828868,6.884132121108662,6.75267643833548,7.255249537422038
biomass_boiler,SK,16.21556093694547,15.995441845975524,16.620803177052462,16.234088146481287,15.924090447494509,16.903942981719425
biomass_boiler,UK,73.55344817539641,49.58138195995099,11.08345074020843,3.796337851374864e-07,4.168631283816953e-07,1.8420183053063035e-06
biomass_plant,AT,12.736455471603946,9.480773786136151,8.994462215259926,8.149928638823589,0.6766689294393481,0.30771038724650535
biomass_plant,BE,26.419226549819243,20.21344821049975,19.36337885515301,16.420598509261044,12.959298101489209,0.6076390242377963
biomass_plant,BG,0.6242897386830856,0.5531227123644585,0.5338785438705917,0.5081616522272162,2.8942917282851467e-07,1.6529218572507102e-06
biomass_plant,CH,2.7693177934940163,2.1580382840444985,2.0647051240313306,2.011770191515481,0.6856435453958445,1.8402862106955923e-06
biomass_plant,CZ,11.83725068344056,8.993326627300831,8.599901765667326,8.172391659113984,0.97246786509007,0.8468936298535298
biomass_plant,DE,157.9023559555601,105.14086553581734,89.87714211546168,51.70725076531351,33.691248894719,2.7670103824224412
biomass_plant,DK,61.60174058515369,47.67662631256588,43.18626385165774,33.58097759697595,28.98335255467849,31.337304104303392
biomass_plant,EE,6.096651124515605,5.036622141478085,4.816655135505664,4.309937415135175,2.556331856956824,1.0697886947010014
biomass_plant,EL,3.124930575934164,2.713998378882457,2.6818749432933893,1.4324276843356132,2.8028446726581066e-07,1.3064410920831836e-06
biomass_plant,ES,38.23106538554055,31.74438580540187,30.224752078735698,24.916481636901022,17.068822185941087,12.343264482179457
biomass_plant,FI,91.10904327561714,80.95387433763729,68.6763960614058,44.28423536739253,33.41177223488913,10.374067695118041
biomass_plant,FR,46.95154953066245,40.80744895714438,38.472869814482316,33.937917403363265,29.053655665523998,17.282559183640434
biomass_plant,HR,1.2183423153432948,1.0344399317422892,0.9628480359355924,0.8392777795724223,0.8115923680982498,0.8465919769010857
biomass_plant,HU,15.28910225252431,13.133612141511147,12.69438997138427,6.447626806369834,2.1850533015478466,0.04761845153880044
biomass_plant,IE,1.835854095456238,1.4565437583345853,0.6491622763937913,0.3363769096335894,2.8304699979256963e-07,1.1340131970479473e-06
biomass_plant,IT,33.76367260057883,25.37477471555412,23.64105799223706,13.218756812773337,4.038620864817569,2.756193292614921
biomass_plant,LT,1.3481073156238144,1.1289401236120558,1.0844709092310358,1.0565025171922393,1.0414935881796994,0.7778653969697336
biomass_plant,LU,9.552871108768685e-08,1.3170643038219649e-07,1.586479335860435e-07,2.1255954653883298e-07,3.246862467225008e-07,1.839124526277072e-06
biomass_plant,LV,1.9780649318740222,1.656482217287105,1.5840172572991693,1.5501952353950488,1.565495405195582,1.728938705305159e-06
biomass_plant,NL,49.42676277554698,37.00167264225775,34.389548849163106,33.443039881549986,26.348094147519507,2.3416070334535597
biomass_plant,NO,0.11982257408703993,0.11069985374973722,0.10748429580101546,0.0726223029056166,2.2380791143009912e-07,1.1282264778443395e-06
biomass_plant,PL,34.65890763460239,30.649725946404807,29.295552793501507,22.262134495849615,23.602873127835338,1.95488221501959e-06
biomass_plant,PT,7.322308742413472,6.0073309423355585,5.741939689372959,5.601214427852018,2.270689868092557,1.847714004286157
biomass_plant,RO,0.9622504156166364,0.7947728605365939,0.7601431785961755,0.740539178630387,0.7297702722374266,1.7367087185707949e-06
biomass_plant,SE,50.290348387842656,40.4273526612982,33.649001642890696,29.73017453423544,16.038469334519867,6.455687608155808
biomass_plant,SI,0.5001370573203976,0.42203372419335056,0.40357134169319947,0.39495430260754255,3.23543557317316e-07,1.7796764751707531e-06
biomass_plant,SK,0.19467908226979191,0.15895458725868591,0.15133931585539528,0.1481079976509749,0.14158082616950232,1.924241079782347e-06
biomass_plant,UK,345.82861343049217,293.0272330451326,265.34939601559165,230.7164224023257,201.97444146180746,131.80392577730268
biomass_plant_CCS,AT,1.8735730137969155e-07,2.971066857147301e-07,7.464198682506097e-07,4.873061597389517e-06,2.4843022249085755e-05,7.560448733319237e-05
biomass_plant_CCS,BE,1.907505692962538e-07,2.549961709949144e-07,1.2150156194633237e-06,97.58089296793416,114.61587781090817,112.9529530889582
biomass_plant_CCS,BG,1.42670347078777e-07,2.558921890757411e-07,5.636459740496953e-07,5.5236427724379386e-06,57.796896935117374,56.911240831268145
biomass_plant_CCS,CH,1.7842714013454678e-07,3.0533030854866353e-07,6.883434370664375e-07,16.364750468471193,19.7869682882231,19.483758931955222
biomass_plant_CCS,CZ,1.7071019567423433e-07,2.2348815178118025e-07,6.051018655259843e-07,1.8986279558039283e-06,3.1521404104787978e-06,1.4404464535565552e-05
biomass_plant_CCS,DE,2.1043038756842307e-07,3.4850515070965635e-07,1.864174696161237e-06,925.148547272386,1093.4264788974547,1076.8654575826693
biomass_plant_CCS,DK,1.585287380891818e-07,2.774533171347531e-07,9.726727692740364e-07,96.28813581467124,94.96638154000532,93.511157868092
biomass_plant_CCS,EE,1.4283550150967133e-07,2.20994708694896e-07,3.5593599201458513e-07,7.847716885799216e-07,1.4697318021690784e-06,5.850796750051666e-06
biomass_plant_CCS,EL,1.369507345823134e-07,2.5072483695509374e-07,6.70586858774346e-07,1.4614837038777528,60.67732975930451,59.747534778169296
biomass_plant_CCS,ES,1.3451438026722406e-07,1.7917957024826096e-07,2.9422763365666234e-07,7.508978890913506e-07,1.2742332294771732e-06,7.270612721647866e-06
biomass_plant_CCS,FI,1.330354280626451e-07,2.2865269043443684e-07,4.4588611162888777e-07,3.6667552297214738e-06,213.31912677294784,210.05032026417774
biomass_plant_CCS,FR,1.368809644120839e-07,2.3530686348457964e-07,4.701222381900978e-07,215.70835785039046,225.05976538093495,221.61104185503774
biomass_plant_CCS,HR,1.6888947281096424e-07,2.594271641675072e-07,9.799079896022152e-07,4.905027110280574,4.837692919454684,4.763558656717549
biomass_plant_CCS,HU,1.4306081139658479e-07,2.156575165694015e-07,5.047408380276038e-07,1.1443562978559342e-06,1.7144646638733872e-06,7.727352511291256e-06
biomass_plant_CCS,IE,1.538026210093643e-07,2.5087233572440203e-07,4.7536919198008756e-07,3.3086316243316713e-06,14.993089101173371,14.763339527874392
biomass_plant_CCS,IT,1.824182607091749e-07,2.878847019588568e-07,9.627407174734534e-07,80.0821366814019,78.98280068711284,77.77249975787852
biomass_plant_CCS,LT,1.6086804010135093e-07,2.2948339168346033e-07,4.2965551887362977e-07,8.558028574757162e-07,1.6672565456254097e-06,5.136190643837411e-06
