technology,capacity_type,location,0,1,2,3,4,5
battery,power,RO,1.982394591911074e-06,2.722195000869598e-06,4.22212751164927e-06,6.034101549591698e-06,1.2020092914937937e-05,0.00011313175459149528
battery,power,SE,2.0488064320879553e-06,2.8359534803573664e-06,4.13630571544239e-06,5.860617510553736e-06,1.0266557344809154e-05,7.311812858331205e-05
battery,power,SI,2.026905399587606e-06,2.7228063157882947e-06,4.874186591518535e-06,6.7554843521327656e-06,1.323811358178827e-05,0.00010588055958229842
battery,power,SK,2.0380143025962055e-06,2.820435533700654e-06,4.681353088617842e-06,6.4639629986583006e-06,1.364865126171521e-05,0.00012095965703509096
battery,power,UK,1.978106934207264e-06,2.8493679234874962e-06,3.871134939046379e-06,5.469515493051127e-06,9.073040066727362e-06,5.916390908233685e-05
biomass_boiler,power,AT,207.50239742526,71.20295903804772,187.40231299259278,179.91102135050193,193.86079656733136,194.69220295083815
biomass_boiler,power,BE,76.86044340251921,44.76483337656281,10.132656666933768,2.20766743743696e-06,2.243323316686106e-06,5.017858567769352e-06
biomass_boiler,power,BG,129.52832978649909,114.24879702468367,97.56772445428496,43.15893651777549,43.15893653460835,43.1589366414368
biomass_boiler,power,CH,281.14778949634723,179.93965311019193,184.87650190857266,174.72644992551255,174.7264500062823,181.6745756753449
biomass_boiler,power,CZ,253.62448978771758,180.86424414466254,183.54877285263302,170.42055849716252,170.4205587627474,170.4205590331368
biomass_boiler,power,DE,1029.661579754926,667.3762510747009,551.0699778774107,215.17354818840047,215.1735482040883,210.80436933880537
biomass_boiler,power,DK,119.67918530079174,82.32228545105872,58.93281079772601,33.39418715619278,33.394186950907574,18.623932641217447
biomass_boiler,power,EE,60.289734994995925,60.21644310491122,60.894158984021345,57.12338887133494,61.11784652753023,65.25065557792075
biomass_boiler,power,EL,136.8634264503918,136.86342645447417,11.070958610960233,1.639771944224604e-06,1.7714756444162524e-06,5.161840620334336e-06
biomass_boiler,power,ES,170.2795390589895,74.72549180818659,10.158124740835655,1.3548065943877852,1.3548066021129015,1.3548066770443596
biomass_boiler,power,FI,170.43977118332165,116.38931856700206,123.22680919521957,109.62462794525874,42.561964979492686,91.8516804859699
biomass_boiler,power,FR,704.84716966434,431.27914496826804,93.08445098120764,0.44186454326472757,0.441864572353773,8.704784049179873e-06
biomass_boiler,power,HR,136.23542031519924,105.88993246213782,69.60319175389813,58.89964712244077,58.89964716085013,58.89964730509781
biomass_boiler,power,HU,177.24933430499797,96.23109345623071,7.543574107377831e-06,7.614680669291673e-06,7.662255489923248e-06,1.17094042422705e-05
biomass_boiler,power,IE,4.913638406810414,3.981663021392255,0.8252552028366467,1.1419659113915432e-06,1.1785762350719818e-06,3.413552662375098e-06
biomass_boiler,power,IT,863.8467063538795,530.1738835050307,281.1348463171295,205.6952138056926,205.69521382915954,0.43187136669755805
biomass_boiler,power,LT,70.16872847570302,65.7862261594441,47.19715659931252,11.95242435578714,11.323802216808163,10.945664911541037
biomass_boiler,power,LU,8.750654408567593,8.54090545154782,8.825215467009984,8.86217836632118,9.15893206642776,9.158932346845678
biomass_boiler,power,LV,58.83034379810893,57.795346766181176,59.197381072435256,57.46752557004977,57.46752537442702,51.735230087848066
biomass_boiler,power,NL,107.346836748513,89.66544548317873,58.26283767306683,36.70472341599085,7.0678438021352,7.067848037922933
biomass_boiler,power,NO,55.32347805409473,45.927341965730896,24.652880183193005,7.198404085134007,7.1984040950919495,7.198404164371963
biomass_boiler,power,PL,637.2278233456568,617.9659952680901,396.96751617009136,358.88444781202065,358.8844479304223,358.8844483159927
biomass_boiler,power,PT,28.100784726068717,12.854972287606707,2.5681133863238985,0.4090730292977452,0.4090730387103111,0.40907310464236285
biomass_boiler,power,RO,197.93468756222592,197.58098897894803,178.18141642422145,107.5384947502643,68.74054915355153,1.1035727533867952e-05
biomass_boiler,power,SE,203.23197398018345,192.64281868548125,152.80380483462167,147.3209485843959,20.146223858126795,20.146223919407035
biomass_boiler,power,SI,56.065980191169714,31.156768058743364,26.431569305357066,25.400564441196003,25.400564525006757,25.400564731671448
biomass_boiler,power,SK,59.394921229194196,59.117148354998015,59.63094581297668,62.02063299485555,62.109759528367675,61.40394604048386
biomass_boiler,power,UK,269.4141311249073,183.25783098869002,39.60703192586163,1.4535420738570574e-06,1.6261107384973237e-06,6.740800422358625e-06
biomass_plant,power,AT,28.25560724013965,28.255607241996362,28.255607244595584,26.215015373209443,2.2311530038901095,0.8257649058836258
biomass_plant,power,BE,60.67783312725998,60.677833128751104,60.677833131173706,53.1824295137483,43.60673379362255,2.1279324612837036
biomass_plant,power,BG,1.5880092430368673,1.5880092450629493,1.5880092485554427,1.588009257697947,6.819863955307854e-07,3.888277213754473e-06
biomass_plant,power,CH,6.415557337871654,6.4155573397611665,6.415557342517905,6.41555734682409,2.286733328230385,4.192529745745991e-06
biomass_plant,power,CZ,27.071746350401643,27.07174635218488,27.071746355087864,26.287269794690754,3.006101517027089,2.38201397887282
biomass_plant,power,DE,349.79984732917353,315.11772549032054,281.6424906771515,166.3212595470748,85.75964511190826,7.273082406866976
biomass_plant,power,DK,147.17669652393363,142.95259194268223,135.33014758537502,108.01638863284776,92.7556198308571,87.97571209364096
biomass_plant,power,EE,15.133728074910685,15.133728076677734,15.133728079240552,13.863320690336224,8.225887892018775,3.3983398838066186
biomass_plant,power,EL,8.257648058197868,8.257648060073391,8.257648063577744,4.525826354675207,6.737900577953565e-07,3.1237212544682767e-06
biomass_plant,power,ES,96.58589810092684,96.58589810249399,96.2127159333616,79.8244605638661,56.104366531150205,35.0156038665667
biomass_plant,power,FI,243.6641380507389,242.71133250694263,215.2070124440536,142.44442899257808,107.50822568281927,30.489777536404087
biomass_plant,power,FR,128.97652260452574,122.62448563953825,120.56007362840437,109.16451931488466,86.94191799759969,51.467379629509495
biomass_plant,power,HR,3.017217560575922,3.017217562390119,3.017217565603943,2.699615722028969,2.6996157333426543,2.382013975518822
biomass_plant,power,HU,39.77963150633842,39.779631508081216,39.779631511147954,20.7394007081669,7.352482811742664,0.14292106256761664
biomass_plant,power,IE,4.384493517871456,4.384493520282764,2.0342398463141733,1.0719062555450778,6.963803457171002e-07,2.7854674356185674e-06
biomass_plant,power,IT,76.38324452794022,76.38324452963239,73.52482789745825,42.193405563571396,13.48219848453994,7.7336051062862
biomass_plant,power,LT,3.3983397787841536,3.398339780902926,3.3983397842169647,3.398339789682319,3.3983397997097593,2.5408148992281983
biomass_plant,power,LU,2.2900168590925784e-07,3.324648374016482e-07,4.114012586363288e-07,5.485601788440665e-07,8.327169766206193e-07,4.47210072881477e-06
biomass_plant,power,LV,4.986349020513185,4.9863490226092235,4.986349025727856,4.986349031259345,4.986349043070707,4.18596119594742e-06
biomass_plant,power,NL,111.78092333131255,111.78092333291409,107.81090023126829,107.57269884970702,87.64223007062839,6.352037074199838
biomass_plant,power,NO,0.33681676150657436,0.3368167636164196,0.3368167684539079,0.2335961781798945,5.400195267291611e-07,2.7162231480019626e-06
biomass_plant,power,PL,92.51598921534891,92.51598921696906,92.48422903484807,71.6082595489499,66.73211838420796,4.5696539744581675e-06
biomass_plant,power,PT,18.277986373470178,18.277986375070466,18.277986377684954,17.944504442075097,7.463643457699511,5.478631966212269
biomass_plant,power,RO,2.3820138638540387,2.3820138657598915,2.3820138689695494,2.382013873469381,2.3820138859939823,4.1112420837313376e-06
biomass_plant,power,SE,131.09016290515387,121.32390607050428,105.44381365597603,95.62991654637977,53.72235266478139,21.009362328534976
