technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
DAC,power,RO,2.2515360073101094e-10,2.8036837666457777e-10,3.05926572159659e-10,3.2860373931276635e-10,3.4369381957755244e-10,3.60408950540864e-10,3.7761231397215196e-10,3.9443806624246705e-10,4.1487400333587876e-10,4.3975661136022814e-10,4.692055959685056e-10,4.959063414730159e-10,5.247840399743751e-10,5.556992076412198e-10,5.900185697012339e-10,6.265105757171519e-10,6.658961552276818e-10,7.110719071471889e-10,7.647876484312696e-10,8.353389477989636e-10,8.368975111170153e-10,9.098689054046266e-10,9.822607163368594e-10,1.0539992751021352e-09,1.138181089442118e-09,1.2290275970760494e-09,1.3205819704163517e-09,1.4115557848131947e-09,1.4851230489574928e-09,1.5575612077892915e-09,1.6852656688307275e-09
DAC,power,SE,2.5293532600444595e-10,2.890256755053277e-10,3.15207260572455e-10,3.4403965342423804e-10,3.683915252422429e-10,3.8649319898353406e-10,4.0383497419731166e-10,4.2323424325642237e-10,4.46822998488368e-10,4.745385205074413e-10,5.06802162082252e-10,5.348763080979669e-10,5.661191081103798e-10,6.006886965595119e-10,6.415399836620034e-10,6.855415088217314e-10,7.324689478005056e-10,7.855628936600599e-10,8.525098741194575e-10,9.472021520305967e-10,9.55063639335299e-10,1.0231536503552762e-09,1.0977437194095159e-09,1.1724501251535227e-09,1.2685639689773063e-09,1.3661658408346312e-09,1.4470073839702846e-09,1.5463772490015783e-09,1.624088569209327e-09,1.7023819098744986e-09,1.8872198367150554e-09
DAC,power,SI,2.5004913170843095e-10,2.8850810450379214e-10,3.15395913517477e-10,3.472965494769183e-10,3.7370528904521505e-10,3.977806777055522e-10,4.208206787346362e-10,4.443709310619806e-10,4.694065171490959e-10,4.94517173726355e-10,5.178154215840186e-10,5.371341367106486e-10,5.539861569357452e-10,5.761822978306606e-10,6.054255092056897e-10,6.401685261259744e-10,6.795204362896075e-10,7.23013812594415e-10,7.747398384739606e-10,8.430490067666519e-10,8.303721182651438e-10,8.974640744055375e-10,9.659063165263762e-10,1.0258284601738807e-09,1.1015129268584876e-09,1.183163962296159e-09,1.2752776733188491e-09,1.3612787876084228e-09,1.4341899766315935e-09,1.5094952166009325e-09,1.6475357689548394e-09
DAC,power,SK,2.3381691284148034e-10,2.817696844604491e-10,3.076423814681226e-10,3.353153177258431e-10,3.540577578058786e-10,3.733961687416792e-10,3.9210642353562976e-10,4.107555965412919e-10,4.3121399972065463e-10,4.530395515079089e-10,4.761792231814196e-10,4.969242674842054e-10,5.208486162293862e-10,5.4745698278365e-10,5.76682647015069e-10,6.097054770036955e-10,6.460241513753293e-10,6.858418692455123e-10,7.332528014221389e-10,7.958598454291711e-10,7.902489391261048e-10,8.556075965519439e-10,9.243753279957533e-10,9.87007572135134e-10,1.0661701776610774e-09,1.1447411794456196e-09,1.225045846053851e-09,1.3010980463797177e-09,1.368808927705228e-09,1.4333583383142954e-09,1.5464469129657364e-09
DAC,power,UK,2.4052952649385267e-10,2.8878099469556594e-10,3.155762956661355e-10,3.426187155102397e-10,3.591752857518346e-10,3.7781748312234955e-10,3.9885686860815304e-10,4.217126484247188e-10,4.4854473434148046e-10,4.784886334449538e-10,5.146731013125024e-10,5.435216028147048e-10,5.760302870381271e-10,6.127925010360518e-10,6.586214508098203e-10,7.088514557860651e-10,7.606811415984426e-10,8.14068175274676e-10,8.756186991894489e-10,9.52990573398543e-10,9.472874887319362e-10,1.0305232438512398e-09,1.1128758574115839e-09,1.1804828124544686e-09,1.2943902668722286e-09,1.4254143210965306e-09,1.555818413199994e-09,1.673750953498324e-09,1.7489332264007483e-09,1.8296826819074923e-09,2.0149929795357816e-09
battery,energy,AT,1.1229340070090365e-07,1.1244186916616396e-07,1.1250028034570347e-07,1.1260265204275727e-07,1.1305088091346777e-07,1.331946691514454e-07,1.462832233412093e-07,1.694210312720008e-07,1.8664109519939106e-07,2.058780276676115e-07,3.665813967460864e-07,3.775225127647071e-07,4.090291301199471e-07,4.49875841355642e-07,4.967324709379103e-07,6.838320883492252e-07,7.742819307573938e-07,8.441271010974336e-07,8.452220082471744e-07,9.810392392339108e-07,1.543695238000429e-06,1.6676764071741138e-06,1.8989987755345805e-06,2.192959361751043e-06,2.5467246534176564e-06,3.102964285692654e-06,3.6485121667874317e-06,4.007250257595888e-06,4.750519432214089e-06,5.842865774781103e-06,8.008331887223896e-06
battery,energy,BE,1.0724935966629267e-07,1.0751892207692232e-07,1.075913400252971e-07,1.0772978526964543e-07,1.0852999445184476e-07,1.3345670840595147e-07,1.467257771860789e-07,1.6627607136860798e-07,1.830479744065402e-07,2.0203938750602958e-07,3.617842764559166e-07,3.686974218310631e-07,3.9816036301184274e-07,4.3357750123188393e-07,4.795019768489836e-07,6.457032189010071e-07,7.295621675094711e-07,8.050627559264012e-07,7.99235243622844e-07,9.28776692490451e-07,1.3816282954724158e-06,1.5242710604223493e-06,1.6608175309555113e-06,1.8776381605546316e-06,2.11529010761519e-06,2.547535473638382e-06,2.9031811843566148e-06,3.3103842857803394e-06,4.224675535327359e-06,5.626225220250647e-06,7.419273556323396e-06
battery,energy,BG,1.0532691892366745e-07,1.0559524721487835e-07,1.0566925315171467e-07,1.0581854931448971e-07,1.0654193583294481e-07,1.3027613282354472e-07,1.4188140780991866e-07,1.597634739356205e-07,1.740385403504525e-07,2.0166273198228026e-07,3.318850801346676e-07,3.493594349165706e-07,3.8462013343990526e-07,4.2691513210016973e-07,4.7075547069798897e-07,6.28075311039442e-07,7.057146115872684e-07,8.371301819806032e-07,8.247095966408465e-07,9.280602089433621e-07,1.3307596265041971e-06,1.473023104938592e-06,1.7366460607931814e-06,1.8373391276509515e-06,2.0183559328302403e-06,2.333424195354778e-06,2.472150661519554e-06,2.837617404706823e-06,3.14568017459395e-06,3.7415577558122047e-06,4.794476572438666e-06
battery,energy,CH,1.0921780097644061e-07,1.0945758913735464e-07,1.0952599808114575e-07,1.0964852345093908e-07,1.1024967377779942e-07,1.336604357079699e-07,1.4756604424235623e-07,1.6664362910684225e-07,1.8590746756735603e-07,2.0632860889263646e-07,3.7780730373733903e-07,3.853820645435275e-07,4.2543198321770754e-07,4.6666235405448893e-07,5.134981914939842e-07,6.988975095897739e-07,7.983791447815037e-07,8.756851981257275e-07,8.707326718471263e-07,1.0088677089710351e-06,1.6041614103123834e-06,1.6942738273992558e-06,1.9912082748130303e-06,2.374815002206155e-06,2.789876984697835e-06,3.4117980650076497e-06,4.008436232603155e-06,4.305996810243712e-06,5.358359626703632e-06,6.5914582841794196e-06,8.78957132630751e-06
battery,energy,CZ,1.1218536575311483e-07,1.1234079850451188e-07,1.1240414805084507e-07,1.1250460633608239e-07,1.1292406451701407e-07,1.3522826608141007e-07,1.4868931973663092e-07,1.7009187991894358e-07,1.8661873597753847e-07,2.049101666418009e-07,3.5401195741848974e-07,3.6867785120415456e-07,4.047680783874392e-07,4.462682419321163e-07,4.854261285253816e-07,6.779990779870338e-07,7.64541397952529e-07,8.626724802278423e-07,8.509129191361838e-07,9.87201847437687e-07,1.6002622217916495e-06,1.7887066717548741e-06,2.040255437808503e-06,2.3399629679344222e-06,2.749705077270133e-06,3.2934346720497108e-06,3.954693502183218e-06,4.526918188230343e-06,6.364799028628749e-06,8.238227915011228e-06,1.0250338940818019e-05
