technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
DAC,NO,8.731432291488146e-08,9.988024326941353e-08,1.0956794914812554e-07,1.2069790616956627e-07,1.298086561728445e-07,1.3834104471053804e-07,1.4670392880562187e-07,1.550320437767672e-07,1.643515687566532e-07,1.7460872996797964e-07,1.8613454181220011e-07,1.9421855668144246e-07,2.0227808187322179e-07,2.0915965690133882e-07,2.1887343595684248e-07,2.3150426601984407e-07,2.465607280085377e-07,2.6428505322334236e-07,2.876367247556461e-07,3.214021872532061e-07,3.3385207324054427e-07,3.6373790299121385e-07,3.9317177686839136e-07,4.215695177696479e-07,4.5843213468359563e-07,4.977507328027648e-07,5.278150848481157e-07,5.625877040289077e-07,5.93432500210027e-07,6.276795461455893e-07,7.091863738717548e-07
DAC,PL,8.565772828952087e-08,9.791694374210274e-08,1.066944554736554e-07,1.1761702647401788e-07,1.262717855083383e-07,1.3423790313423363e-07,1.4200479350777338e-07,1.5012931328616977e-07,1.5921270223920257e-07,1.690104802100603e-07,1.7946849738924796e-07,1.8831704214599923e-07,1.982265759679298e-07,2.091247197840351e-07,2.203097193005696e-07,2.3196002892667659e-07,2.4397110677293003e-07,2.563610677848865e-07,2.7394090280681044e-07,3.0041504585319406e-07,2.9630361879082937e-07,3.19529055221631e-07,3.4497483082784913e-07,3.6763005852702476e-07,3.957077925201361e-07,4.2460667054453814e-07,4.5345256846112794e-07,4.79137513073595e-07,5.000193816533562e-07,5.205569136687024e-07,5.552882745346858e-07
DAC,PT,8.113015660536981e-08,9.3260317545748e-08,1.0167104799506329e-07,1.1045829390789163e-07,1.1686695672440687e-07,1.23510216396333e-07,1.3027469887726708e-07,1.373990739106461e-07,1.457087134073292e-07,1.5498729833769767e-07,1.6596256583169326e-07,1.7518055985089274e-07,1.8544088515561857e-07,1.9712461002701265e-07,2.109059844984642e-07,2.2672004404805825e-07,2.445298759360004e-07,2.6487690723521414e-07,2.8662535750112006e-07,3.125056741717249e-07,3.126146204826043e-07,3.41689518946503e-07,3.7070648437150883e-07,3.967749424934338e-07,4.292386355068899e-07,4.6580898964325275e-07,5.087087330962564e-07,5.481985936780038e-07,5.749956690682572e-07,6.027291269486725e-07,6.537979460854266e-07
DAC,RO,7.674237070632695e-08,9.556202444227962e-08,1.042733952882274e-07,1.1200278341518979e-07,1.1714615456230262e-07,1.228434153328455e-07,1.2870708746401798e-07,1.3444205290071994e-07,1.414075300463749e-07,1.4988863060592656e-07,1.5992615559507088e-07,1.690269583492335e-07,1.7886976360014516e-07,1.8940702904841862e-07,2.0110459549667088e-07,2.135426957286845e-07,2.2696705462619823e-07,2.423649620524523e-07,2.606736780445759e-07,2.8472070173111694e-07,2.8525192949534047e-07,3.101238292704086e-07,3.347981812355849e-07,3.5924987578023335e-07,3.879427857840499e-07,4.1890731996686074e-07,4.501131262957631e-07,4.811210522909236e-07,5.061960510405857e-07,5.308862004332888e-07,5.744135660107195e-07
DAC,SE,8.621161948970486e-08,9.851281730011187e-08,1.0743666706479379e-07,1.1726403013337487e-07,1.255642321660439e-07,1.3173408844259873e-07,1.3764493747117573e-07,1.4425707199948224e-07,1.5229716992655683e-07,1.6174385369355615e-07,1.7274073908215905e-07,1.8230965787273828e-07,1.929585950101935e-07,2.0474144975164582e-07,2.186653870481023e-07,2.3366306571941e-07,2.496580260785388e-07,2.677548065083726e-07,2.9057331785086826e-07,3.2284866175338437e-07,3.2552820661112494e-07,3.4873631365506114e-07,3.741599298521197e-07,3.996231987722254e-07,4.323830756242366e-07,4.656501386753611e-07,4.932045355477418e-07,5.270742093815606e-07,5.535616869262168e-07,5.802475429536385e-07,6.432485371910503e-07
DAC,SI,8.522787598359995e-08,9.833640606112779e-08,1.0750096838706762e-07,1.183741253013636e-07,1.2737539943269903e-07,1.3558136369652535e-07,1.4343442176136396e-07,1.5146139618444578e-07,1.5999463847819402e-07,1.6855346813703438e-07,1.7649454821790226e-07,1.8307922637985168e-07,1.888231451049621e-07,1.9638857806840146e-07,2.0635596637886903e-07,2.1819793326412457e-07,2.3161081614929558e-07,2.464352950686487e-07,2.640658274710843e-07,2.873486330701892e-07,2.8302778510850023e-07,3.058957106172286e-07,3.292238737012585e-07,3.4964800792067276e-07,3.754446435514738e-07,4.0327495143804086e-07,4.3467140495016596e-07,4.6398441336992705e-07,4.888357925106052e-07,5.145031707941094e-07,5.615535364416289e-07
DAC,SK,7.969521315418341e-08,9.603965252371057e-08,1.0485821948639242e-07,1.1429038813005403e-07,1.2067864610102727e-07,1.2727003747157657e-07,1.3364732526420045e-07,1.4000379366408524e-07,1.4697692825199641e-07,1.5441604794934758e-07,1.623030782070283e-07,1.6937391285073246e-07,1.775283959873516e-07,1.8659771188266654e-07,1.9655911934541327e-07,2.078147699436324e-07,2.2019379103475016e-07,2.337654419235323e-07,2.4992519828904567e-07,2.7126446607963725e-07,2.6935201942051054e-07,2.9162915956286995e-07,3.150682638985755e-07,3.364161210161522e-07,3.633982612067884e-07,3.9017875650484265e-07,4.175501619555576e-07,4.4347213758237524e-07,4.665510203480228e-07,4.885523331484966e-07,5.270979539619047e-07
DAC,UK,8.198317072468721e-08,9.842941918723917e-08,1.0756245065373452e-07,1.1677971123377614e-07,1.2242292745141852e-07,1.2877701824429796e-07,1.3594817746690267e-07,1.4373844474120032e-07,1.5288401415498107e-07,1.6309022803710753e-07,1.7542350557691515e-07,1.852563591906976e-07,1.9633676602296184e-07,2.0886696516458937e-07,2.2448751149918668e-07,2.4160813337666174e-07,2.592739976990265e-07,2.7747067550471424e-07,2.984498342128146e-07,3.24821613449387e-07,3.2287774830029184e-07,3.512481992042416e-07,3.793176361484599e-07,4.0236109621031104e-07,4.4118582770365817e-07,4.858446584222484e-07,5.302921784500621e-07,5.704888384036631e-07,5.961143040364115e-07,6.236373133452255e-07,6.867993125764962e-07
battery,AT,1.3874471514496957e-07,1.3892807380284929e-07,1.390002643721736e-07,1.2726006877483043e-07,1.158527286505427e-07,1.2245898850639053e-07,1.2601426691734035e-07,1.3612676339812092e-07,1.3914538391653944e-07,1.4155464336785188e-07,2.3080235799413878e-07,2.2754659537351403e-07,2.3554580996024992e-07,2.469794570099343e-07,2.5935585794460433e-07,3.386698610571588e-07,3.7367636672434774e-07,3.967122812050174e-07,3.8654092234962124e-07,4.362504732624001e-07,6.669369240477599e-07,7.090820872576718e-07,7.944348601271634e-07,9.023950366337842e-07,1.0305292749194359e-06,1.2343631872212678e-06,1.426399312086971e-06,1.5392092741613117e-06,1.7921738783938448e-06,2.1642612671247302e-06,2.9115357692896332e-06
battery,BE,1.3251252311802523e-07,1.328455139006526e-07,1.3293499709311355e-07,1.2175290136050924e-07,1.1121979434545101e-07,1.226999065134587e-07,1.2639549983591617e-07,1.3359984252006673e-07,1.3646662490675977e-07,1.389153249205346e-07,2.2778205322361246e-07,2.2222738932709763e-07,2.2928685866825298e-07,2.3803175192642957e-07,2.503594040657168e-07,3.197864228088457e-07,3.520941492037102e-07,3.783533051146055e-07,3.65510033296956e-07,4.1301025605340584e-07,5.969176397324994e-07,6.481073266784989e-07,6.947931455499444e-07,7.72641469384164e-07,8.559497631529698e-07,1.0134128840740502e-06,1.1350094031691337e-06,1.2715387970094114e-06,1.5937947904188494e-06,2.084015239534899e-06,2.69737576362504e-06
