technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11
wind_onshore,power,CZ,0.299,4.958,4.958,4.958,4.9557,4.9556,5.7534,7.9953,9.5058,13.1902,14.9938,14.9576
wind_onshore,power,DE,55.5324,55.091,53.8138,52.3308,49.567,46.6289,43.5796,41.5299,39.5467,36.905,35.1662,33.9313
wind_onshore,power,DK,2.6991,7.5576,7.5339,7.5011,7.4862,7.4307,7.429,7.429,7.4215,9.2482,10.0948,10.661
wind_onshore,power,EE,0.3484,0.3485,0.3485,0.3485,0.3485,0.3462,0.3462,0.3462,0.3151,0.3151,0.2888,0.2681
wind_onshore,power,EL,4.7541,8.1677,8.1437,8.0489,7.8639,7.8389,7.8351,8.341,10.9898,13.7142,13.5799,14.0266
wind_onshore,power,ES,28.4037,28.133,27.7328,26.8655,25.8804,24.852,28.4972,33.2253,40.2169,45.2809,46.972,46.1073
wind_onshore,power,FI,3.161,20.8461,20.8385,20.8385,20.8385,20.8215,24.6209,28.4101,29.6445,30.5202,30.5132,30.639
wind_onshore,power,FR,20.5912,20.5837,20.5793,20.5574,20.542,20.502,20.4289,20.2806,19.888,22.8268,25.8577,34.1469
wind_onshore,power,HR,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9801,0.9689,0.9689,0.9689
wind_onshore,power,HU,0.2836,13.4302,13.4302,13.4302,13.4296,13.4284,14.1391,15.168,16.9625,17.9452,19.7313,21.2285
wind_onshore,power,IE,4.5308,7.7171,7.7085,7.6603,7.6505,7.6386,7.5697,8.6994,8.7494,10.1669,11.215,12.031
wind_onshore,power,IT,11.7145,11.7145,11.6887,11.4403,11.2871,11.2343,10.7574,10.3494,10.0628,9.5724,24.7897,44.0496
wind_onshore,power,LT,0.6013,7.8101,7.8101,7.8101,7.8101,7.8099,8.1171,8.1163,8.1163,8.3758,8.3117,8.2977
wind_onshore,power,LU,0.1416,0.1416,0.1366,0.1366,0.1366,0.1354,0.1354,0.1342,0.1342,0.1342,0.1342,0.1262
