technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,power,LV,9.497774420801222e-10,9.536187749866283e-11,7.553024967843479e-11,1.1244806825126005e-10,8.508539537534348e-11,7.817508458876971e-11,7.660182006303534e-11,7.285168751477671e-11,6.679878424776381e-11,5.3302163544789515e-11,7.256310067893574e-11,8.239385909674592e-11,9.94204554588888e-11,1.2322828783746614e-10,1.43731385079139e-10,1.5778081380273098e-10,1.7160089771784236e-10,2.0427903158850838e-10,2.5877634617728425e-10,3.3443464037982287e-10,1.0148537518028654e-09
DAC,power,NL,7.928804264266367e-10,2.2137431001065491e-10,8.986154552656885e-11,9.711449747891247e-11,5.285273543185086e-11,6.317342823101728e-11,6.903634788430417e-11,6.841531689853384e-11,6.472919100437921e-11,7.060552465685844e-11,8.45654404612451e-11,9.362080628538224e-11,1.0350812353842364e-10,1.1741250287523846e-10,1.2889031454737317e-10,1.4666885519482855e-10,1.5901155476815945e-10,1.7004342980913915e-10,1.8434813824571787e-10,2.0913436384856873e-10,9.224683732631274e-10
DAC,power,NO,9.786770289845735e-10,9.860966144138686e-11,8.627519739193548e-11,1.1640458815279362e-10,9.364353792957751e-11,9.032210351888538e-11,9.217961239751261e-11,9.715949667945457e-11,1.0588781548745896e-10,1.1624759020745662e-10,1.2322880857627402e-10,1.166489825010894e-10,1.0407480330089735e-10,8.033220039472303e-11,1.247427260481214e-10,1.6796925362718837e-10,1.8866656119647107e-10,2.503387642021176e-10,3.4898133156581635e-10,3.935234932529323e-10,9.407327776309705e-10
DAC,power,PL,9.431157112756528e-10,9.513326065475566e-11,7.75263196627195e-11,1.184258523326461e-10,9.136719111183432e-11,8.270440811039911e-11,8.317103419105034e-11,8.396749368412416e-11,8.772685099323673e-11,9.258020796133584e-11,9.818341136932914e-11,1.0240844646786141e-10,1.0916551846986408e-10,1.1610002492182223e-10,1.226684800191635e-10,1.2869270620808576e-10,1.3807739289004605e-10,1.699082747181763e-10,2.0184980295416507e-10,2.740732310168128e-10,1.0166021733174117e-09
DAC,power,PT,8.891187565742182e-10,1.0361608971779126e-10,7.584915431488825e-11,8.911668266918857e-11,5.781026489564147e-11,6.442748331376614e-11,7.230477956260594e-11,7.976643536865956e-11,8.950323580679963e-11,1.0037560697477014e-10,1.1390786604792306e-10,1.185459487452126e-10,1.289430723975294e-10,1.4360374505639618e-10,1.5561708384943914e-10,1.6501205788909094e-10,1.7820804545214726e-10,2.3146745629667144e-10,2.1047000489820327e-10,2.783017363854047e-10,9.952537323150615e-10
DAC,power,RO,8.301235330047277e-10,1.8556008690556152e-10,7.687809405675818e-11,7.643701428037417e-11,4.605651752349816e-11,5.6288587073043575e-11,5.967118694980317e-11,6.090461310299825e-11,6.829314183101431e-11,8.3477177564898e-11,1.0021054030831837e-10,1.0050839136634293e-10,1.1280921455882639e-10,1.2066228069481675e-10,1.290033267107763e-10,1.4119361571426617e-10,1.574154241056932e-10,1.8057534405435666e-10,2.0191501469504724e-10,2.595783349405827e-10,9.705889924195117e-10
DAC,power,SE,9.301102900810059e-10,9.323101398142618e-11,7.767040527318432e-11,9.644125427100416e-11,8.963064448507334e-11,7.275790799966733e-11,5.740158020570653e-11,6.991491090419217e-11,8.708227712662341e-11,1.0201063515927115e-10,1.181686545355269e-10,1.2919532702104304e-10,1.4177199091200355e-10,1.587406719462316e-10,1.7747221328725324e-10,1.8829232435602665e-10,1.9113754930518604e-10,2.489117274769561e-10,3.00058122843162e-10,3.531703651858693e-10,9.016281032355951e-10
DAC,power,SI,9.512758027470717e-10,1.1152352014505546e-10,8.019511640536043e-11,9.746840618143493e-11,8.826790891400319e-11,8.182016257303012e-11,8.34709632349018e-11,8.600474126207254e-11,8.948655913814104e-11,8.785985221248206e-11,8.376471814975924e-11,7.341643347038226e-11,5.895314334558709e-11,8.36257231702221e-11,1.067339575523686e-10,1.1990991087330916e-10,1.3409642663227202e-10,1.768868287274425e-10,1.9808714349162164e-10,2.8854706074608474e-10,1.078142037714563e-09
DAC,power,SK,8.855120870139661e-10,1.399995889218138e-10,7.403229061871686e-11,8.755475999397858e-11,5.048065990361144e-11,5.970201861597148e-11,6.459121764456203e-11,7.376460879663609e-11,7.835671996963117e-11,8.018375445017723e-11,8.689966597986005e-11,8.97941523795342e-11,9.888478557806035e-11,1.0825784677415651e-10,1.1291330724087179e-10,1.237672813031366e-10,1.3931572987170544e-10,1.7741546228241874e-10,1.8644578990086613e-10,2.485014799643378e-10,9.973235171670776e-10
DAC,power,UK,8.671822824569848e-10,1.6587041632259793e-10,8.67962224974146e-11,9.448896557710735e-11,5.18860688073921e-11,6.472815338241223e-11,7.705348598472177e-11,8.792704656707194e-11,9.819362006960639e-11,1.0932424380400052e-10,1.2509111064673024e-10,1.3121804736612682e-10,1.4234364476560666e-10,1.5984613206561593e-10,1.8420431243672128e-10,2.0707199643515475e-10,2.1159419280009038e-10,1.9842932235902308e-10,2.1643109825054995e-10,2.727533327174057e-10,8.604366351723586e-10
