technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,NO,3.335767010443209e-07,3.671897678217526e-07,3.965720620586166e-07,4.362200729416837e-07,4.681070476746754e-07,4.988621124536317e-07,5.302529774310285e-07,5.633388445401066e-07,5.994022426371215e-07,6.389919551209663e-07,6.809553611938575e-07,7.206900971602807e-07,7.561349139306697e-07,7.834864785328184e-07,8.259752815374781e-07,8.831974348385037e-07,9.474712820161114e-07,1.0327648736363628e-06,1.151680130387497e-06,1.2857779825968298e-06,1.2727137872247319e-06
DAC,PL,3.2145582082049604e-07,3.5388232020334687e-07,3.802918152032842e-07,4.2063794049387927e-07,4.517540628928119e-07,4.799190461824844e-07,5.082421632315572e-07,5.368351743190341e-07,5.667063508040034e-07,5.982178575918807e-07,6.316125690123993e-07,6.665027448213712e-07,7.036983148030711e-07,7.432478370572656e-07,7.850329357954455e-07,8.288676025345275e-07,8.758835937201836e-07,9.337102068968791e-07,1.0024640604517627e-06,1.0958525818707723e-06,1.1208081342447684e-06
DAC,PT,3.03051254776443e-07,3.3835211692141664e-07,3.6418891944388643e-07,3.9454212596066386e-07,4.142185222753117e-07,4.361520747039103e-07,4.607701875871045e-07,4.879275449828024e-07,5.184081252507784e-07,5.525930345125642e-07,5.913915894398818e-07,6.317690399271053e-07,6.756920054631249e-07,7.246116336753575e-07,7.776258554492805e-07,8.338382576656834e-07,8.945308433328302e-07,9.73329627792814e-07,1.0450174997218927e-06,1.1398448088119575e-06,1.1759412066545547e-06
DAC,RO,2.829430561850229e-07,3.4617593365953004e-07,3.723570956992042e-07,3.9838779228040866e-07,4.140487880448884e-07,4.3320842221433337e-07,4.5352006041237244e-07,4.742507393084405e-07,4.975009857666813e-07,5.259212025619963e-07,5.600397491948216e-07,5.942705076867935e-07,6.326955088532063e-07,6.737957061259713e-07,7.177383636962807e-07,7.658348579680603e-07,8.194577752679207e-07,8.809706478308812e-07,9.497604293030708e-07,1.038207406705929e-06,1.085993425950917e-06
DAC,SE,3.170229942910909e-07,3.488013056690602e-07,3.75248885923534e-07,4.080908579219856e-07,4.3860993108795553e-07,4.633791822761967e-07,4.82915426042325e-07,5.067174238514444e-07,5.363708303769234e-07,5.711106997554099e-07,6.113542033795547e-07,6.5536154319655e-07,7.036532712462586e-07,7.57729160666592e-07,8.181903459833963e-07,8.823405187677714e-07,9.474600308362282e-07,1.0322686300518121e-06,1.1345086986581123e-06,1.2548510190651014e-06,1.244960760572437e-06
DAC,SI,3.242371432717648e-07,3.622516779026395e-07,3.8957216298366335e-07,4.2277511973600446e-07,4.5283407057796277e-07,4.806986683626895e-07,5.091249753641967e-07,5.38413943289369e-07,5.688853394756721e-07,5.98787428913242e-07,6.272665677918773e-07,6.522705627930784e-07,6.723526576360402e-07,7.008336324570187e-07,7.371879966119111e-07,7.780298215165748e-07,8.236902052945482e-07,8.838920724773238e-07,9.513666724335817e-07,1.0496876934921416e-06,1.0928179232569303e-06
DAC,SK,3.0182194122556285e-07,3.4953631178513046e-07,3.7475640904539223e-07,4.0458370274275617e-07,4.2176109871626625e-07,4.420875856569266e-07,4.6407995442413666e-07,4.891983922600871e-07,5.158775154215898e-07,5.431620659541885e-07,5.72711166305507e-07,6.032931284837753e-07,6.369892697452817e-07,6.738652362112843e-07,7.123264856849013e-07,7.544828694656503e-07,8.019204727209476e-07,8.623005172177367e-07,9.258037673299943e-07,1.0104725246009167e-06,1.0484831710478663e-06
DAC,UK,2.9557432781090145e-07,3.521136494789262e-07,3.816715454633538e-07,4.138467580596066e-07,4.3149910983956414e-07,4.535315804561331e-07,4.797657004101085e-07,5.097062192243379e-07,5.431464178262199e-07,5.803784874550592e-07,6.229789799684183e-07,6.676778662983591e-07,7.161652804468387e-07,7.706165461321357e-07,8.333726843238502e-07,9.03923616118104e-07,9.7601313538225e-07,1.043614342052462e-06,1.1173506341772695e-06,1.2102811767451626e-06,1.207831017904794e-06
battery,AT,3.3018576125024905e-07,3.3055121819421124e-07,3.307592762898369e-07,3.0285218554554e-07,2.752704120155464e-07,2.968864181278207e-07,3.0582837719087297e-07,3.101022183071255e-07,2.9059285602023206e-07,2.9994862270107965e-07,4.377762688664632e-07,4.6051322619398546e-07,4.917338295978658e-07,5.373561958676148e-07,6.286748748969828e-07,7.71173542227826e-07,9.046511548581961e-07,1.0477648298252322e-06,1.2269733729569372e-06,1.8402359698066912e-06,2.5598426024557747e-06
battery,BE,3.1227098175863176e-07,3.129569911299397e-07,3.13222756691123e-07,2.86889924179369e-07,2.613538783986407e-07,2.94735257453659e-07,3.0309958020321736e-07,3.0499864203479335e-07,2.8510254353018025e-07,2.910391720582323e-07,4.43451564011947e-07,4.5031743671304053e-07,4.79641180294592e-07,5.188339376309964e-07,5.789996629165095e-07,6.838175498419448e-07,7.880814614771775e-07,8.891214617378285e-07,1.0405143896545723e-06,1.38876703871413e-06,1.9399107138366725e-06
battery,BG,3.0682938229635897e-07,3.075209616663947e-07,3.0779278100347496e-07,2.819945831822649e-07,2.5714110519831955e-07,2.903145155744835e-07,2.954507992919503e-07,2.9467869170133344e-07,2.753697260789882e-07,2.948234121502618e-07,3.978602412743427e-07,4.384906613786518e-07,4.983910125496265e-07,5.396849196628782e-07,6.156334597571831e-07,7.607880458756626e-07,8.975654289113727e-07,1.074576705978601e-06,1.3966689065395062e-06,1.746512665195321e-06,2.1809194370942107e-06
battery,CH,3.1918568264381513e-07,3.1979250247143557e-07,3.2003995518773744e-07,2.93097400081817e-07,2.666115320738497e-07,2.9582372555937476e-07,3.0710845376554187e-07,3.1246908876441046e-07,2.921572014306272e-07,3.016821592534324e-07,4.501844826488266e-07,4.663403970951754e-07,4.99677982166474e-07,5.391032038998244e-07,6.126444917945961e-07,7.813880886236869e-07,9.120599385219766e-07,1.067313031407223e-06,1.2826918263284563e-06,2.0325397756729287e-06,2.9724821401344944e-06
battery,CZ,3.339372898352402e-07,3.3431466630333395e-07,3.3452661206085647e-07,3.0632113636248844e-07,2.7864045407222165e-07,2.9839706604708293e-07,3.06898826410729e-07,3.103226981118747e-07,2.8986315335312976e-07,2.955084062864131e-07,4.1075666216487874e-07,4.471278848918566e-07,4.926817253450923e-07,5.474401073200987e-07,6.326298342216889e-07,7.984134509968048e-07,9.630526728006473e-07,1.100567015996278e-06,1.3531876162188902e-06,1.906914528110599e-06,2.3616376691154304e-06
battery,DE,3.511301515074783e-07,3.5148320400309617e-07,3.516904509198174e-07,3.219768668045297e-07,2.9253204682679664e-07,3.127314894885307e-07,3.2059277946766215e-07,3.232479887461793e-07,3.021489980369841e-07,3.1003352087616086e-07,4.29197104948673e-07,4.573928145186103e-07,4.994543944992252e-07,5.392541923419131e-07,6.153695557083583e-07,7.543355073091946e-07,9.003281916112369e-07,1.0456280322896122e-06,1.2298030427282835e-06,1.7252695802972211e-06,2.4455402092999816e-06
battery,DK,3.2715231128256615e-07,3.275102914263022e-07,3.277202773149577e-07,3.000754241635597e-07,2.729294761900859e-07,2.947109553989236e-07,3.007291268937783e-07,2.9946871338944654e-07,2.795996106843301e-07,2.8274791269877366e-07,3.836917142434931e-07,4.129245043845635e-07,4.4961052628876784e-07,5.117074232020239e-07,5.762254975964316e-07,7.03673877132353e-07,8.175347246547992e-07,9.423780674738088e-07,1.1281002032088796e-06,1.2260752011528468e-06,1.4075235243290268e-06
battery,EE,3.1539001270423977e-07,3.1572670119976725e-07,3.1593621586204993e-07,2.893687313451464e-07,2.6345692684557814e-07,2.891804649147653e-07,2.9490836413501825e-07,2.943766849934366e-07,2.7466181286751035e-07,2.751583163904292e-07,4.057969173093441e-07,4.046557809863063e-07,4.267055429520551e-07,4.509504219106274e-07,5.208417289378742e-07,6.276621434898346e-07,7.108898089959107e-07,7.916715480409604e-07,9.72619695713453e-07,1.1415813734888349e-06,1.3677295473087844e-06
battery,EL,3.124529610205005e-07,3.1309078187584613e-07,3.133534915464892e-07,2.8702984555854895e-07,2.613095618137978e-07,2.8721008534457563e-07,2.928662911553504e-07,2.9147335730598256e-07,2.7243927393778727e-07,2.816931916141967e-07,3.782412365082307e-07,4.0262628519669177e-07,4.774826963376015e-07,5.188036682843313e-07,6.101633217841184e-07,7.311567774584425e-07,8.563536608250294e-07,1.01262085997177e-06,1.2386673950805972e-06,1.5573151836020533e-06,1.9225366144370875e-06
battery,ES,2.974933172272412e-07,2.981318495348834e-07,2.9839606204323e-07,2.7342081600362537e-07,2.493242789698961e-07,2.7456955530070737e-07,2.794622212874526e-07,2.796744577810918e-07,2.6165401895074057e-07,2.6580727017218604e-07,3.5193253758752677e-07,3.6986675597481925e-07,3.992127190954252e-07,4.2532550876412104e-07,4.605285010121138e-07,5.369681652070967e-07,6.060295705245865e-07,7.086582584967618e-07,8.157495989284502e-07,9.568302273204492e-07,1.1474408521452191e-06
battery,FI,3.259083815268645e-07,3.26248703764101e-07,3.2645733096778377e-07,2.989306657689365e-07,2.7186801158154264e-07,2.9705090397981216e-07,3.028225493040018e-07,3.0291941766601064e-07,2.8325465785129496e-07,2.887988203547938e-07,4.177604236684002e-07,4.2635133635335015e-07,4.504166545955529e-07,4.835418884516779e-07,5.257949339232928e-07,6.389628191976816e-07,7.22533751547762e-07,8.127612024447566e-07,9.775161173810304e-07,1.124751513144709e-06,1.415368891039783e-06
