technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
battery,energy,DK,2.6478158496123395e-07,2.6507066137191347e-07,2.6524057736789784e-07,2.6551284276952333e-07,2.6632794830501905e-07,3.2054679840360127e-07,3.4909960592139007e-07,3.727128636675612e-07,3.750370439493433e-07,4.1122970595417976e-07,6.094133247528145e-07,6.850821914794662e-07,7.807552181065588e-07,9.320799602733075e-07,1.1036176619830384e-06,1.4208365182639017e-06,1.6939847343287565e-06,2.005197479698293e-06,2.4667367942951345e-06,2.7571945535105615e-06,3.2578593958556447e-06
battery,energy,EE,2.552617376211779e-07,2.555337439414949e-07,2.55703287339482e-07,2.5603948207179603e-07,2.570846577374681e-07,3.145315097978296e-07,3.4234263423869977e-07,3.6637545119765783e-07,3.684138209376536e-07,4.00191400604134e-07,6.445229369679099e-07,6.713635396324038e-07,7.409803369169274e-07,8.214103677239501e-07,9.975436010190282e-07,1.2673558454781877e-06,1.473009435936305e-06,1.6845231956010746e-06,2.12675847053523e-06,2.5671850379478235e-06,3.165751941474246e-06
battery,energy,EL,2.528846271038022e-07,2.5340022030322465e-07,2.5361280952940716e-07,2.5396985065167446e-07,2.549891006129649e-07,3.1238826838378615e-07,3.399719839509025e-07,3.6276190329037663e-07,3.6543252610356546e-07,4.0969563643290924e-07,6.00756404942751e-07,6.679963373755937e-07,8.291555631753184e-07,9.450057177254494e-07,1.1686170925475175e-06,1.476329035762766e-06,1.7744199892268387e-06,2.1546606417057383e-06,2.7085063988466824e-06,3.5020864275093115e-06,4.449911000133872e-06
battery,energy,ES,2.4077699999120185e-07,2.4129301958011863e-07,2.41506825737006e-07,2.4192812830749274e-07,2.432935325713783e-07,2.986394982086052e-07,3.244118281726075e-07,3.4807709951248213e-07,3.5096574965758827e-07,3.865909660735025e-07,5.589704690913089e-07,6.136448904698122e-07,6.932384026442619e-07,7.747341527464871e-07,8.820282777108213e-07,1.0842291208818065e-06,1.2557319606715927e-06,1.5078869217039143e-06,1.783741636728836e-06,2.151717024272987e-06,2.6558707564507093e-06
battery,energy,FI,2.637748071365447e-07,2.6404956421227767e-07,2.642183867753855e-07,2.6449990923942753e-07,2.652921340808995e-07,3.230918198068691e-07,3.51529682810482e-07,3.7700747473771663e-07,3.799396194973204e-07,4.200301109955994e-07,6.635243387040569e-07,7.073585206816995e-07,7.821549554550154e-07,8.807760103346431e-07,1.007030158768111e-06,1.290173757619991e-06,1.4971363349332346e-06,1.7293978715575424e-06,2.1374651484587506e-06,2.5293380751064503e-06,3.2760183184174172e-06
battery,energy,FR,2.465945048224788e-07,2.4707151093741255e-07,2.472863882118233e-07,2.4768048555020456e-07,2.490395812784531e-07,3.131174221231789e-07,3.4115682546522204e-07,3.6565681588762954e-07,3.6854701496291385e-07,4.037542714025704e-07,5.843060960346394e-07,6.361803173356711e-07,7.172051011501821e-07,8.001303321247602e-07,9.19095664818176e-07,1.1585294576364875e-06,1.291496701841419e-06,1.4529113612684856e-06,1.7255315963714738e-06,2.380836027188067e-06,2.9056241885465936e-06
battery,energy,HR,2.579825500603177e-07,2.583711154650973e-07,2.5855777216111554e-07,2.5886524049439093e-07,2.5979862487286943e-07,3.194880785296657e-07,3.4359790961078854e-07,3.686100719638106e-07,3.7133707731254894e-07,4.146119529104088e-07,6.906415651692359e-07,7.369393313737404e-07,8.790187123627045e-07,9.842368417134067e-07,1.1599827667263137e-06,1.5115720668685117e-06,1.7687625849026569e-06,2.19131048552162e-06,2.6944557516711363e-06,4.166030274259473e-06,6.1437637217666524e-06
battery,energy,HU,2.554591389081336e-07,2.5595776232375357e-07,2.5616755195141717e-07,2.565544026606225e-07,2.5768550825640326e-07,3.265736901660596e-07,3.539317874453192e-07,3.7798075359981646e-07,3.806056672750114e-07,4.249493172554517e-07,6.63677155132141e-07,7.624778556136565e-07,8.898614774829924e-07,1.0238467523551794e-06,1.2147420342475731e-06,1.644310913460614e-06,1.9396995945674967e-06,2.386764550854415e-06,3.1924672367632077e-06,5.001016306333928e-06,8.181373834668898e-06
battery,energy,IE,2.487332934687864e-07,2.4928396721542135e-07,2.494996932816784e-07,2.4983900326927527e-07,2.5109915978359387e-07,3.158693683894153e-07,3.447108558620901e-07,3.687673015237279e-07,3.7173002686676833e-07,4.1275627356279556e-07,5.762011366396132e-07,6.397097362126949e-07,7.306402844229933e-07,8.223551633416047e-07,9.255607580362848e-07,1.1349952471011583e-06,1.2875275447698955e-06,1.4741022467076171e-06,1.7415396157255525e-06,2.157563746952418e-06,2.6375412367941157e-06
battery,energy,IT,2.65759310831294e-07,2.6621926198336124e-07,2.664151706097772e-07,2.667404049353943e-07,2.6762679494279615e-07,3.1799817056147977e-07,3.4809162286417334e-07,3.805905347647059e-07,3.8457083865248354e-07,4.3362733009506696e-07,6.395769644975215e-07,7.302357304989534e-07,8.671669690420888e-07,9.947007877534017e-07,1.1921461382464587e-06,1.5742565438099629e-06,1.9088661641771e-06,2.4096030237192155e-06,3.2432754213729283e-06,4.843453176666484e-06,6.811257643404438e-06
battery,energy,LT,2.5753224705019046e-07,2.5780921681878537e-07,2.5797988847847187e-07,2.582826699672291e-07,2.5936386329221763e-07,3.171076628391376e-07,3.451219057780016e-07,3.697991571354635e-07,3.718492973232715e-07,4.065944487474034e-07,5.735645714724123e-07,6.469750451996507e-07,7.375949558914753e-07,8.317755316088554e-07,1.0073498703882123e-06,1.2775921374684723e-06,1.47366708419838e-06,1.694591205654716e-06,2.1293359922054265e-06,2.5657365499163175e-06,3.0806773017760653e-06
battery,energy,LU,2.4266451766578294e-07,2.43211302890149e-07,2.4343718945461956e-07,2.439364798400938e-07,2.4574703092050936e-07,3.1182130300698883e-07,3.40208366387011e-07,3.633517540181018e-07,3.6578979370425574e-07,3.998234133406255e-07,6.423470743947002e-07,6.751660787842682e-07,7.448282533110799e-07,8.284232449983247e-07,9.551856115304914e-07,1.2170588006890541e-06,1.3701919086516749e-06,1.552688691147022e-06,1.8558235432845972e-06,2.5566574580350922e-06,3.123755765916745e-06
battery,energy,LV,2.5842022148716334e-07,2.5869472262088126e-07,2.588651876360934e-07,2.591660302002121e-07,2.6020268610350776e-07,3.177645593198835e-07,3.454495044837201e-07,3.70214372319034e-07,3.7231874171972387e-07,4.04678056418442e-07,5.979082916304601e-07,6.607013393894007e-07,7.478495386527883e-07,8.395645199085001e-07,1.0177875276030182e-06,1.2944405875454282e-06,1.495372364984582e-06,1.7222985842726796e-06,2.167967918297387e-06,2.6326190159856106e-06,3.2865276478454022e-06
battery,energy,NL,2.565556309064954e-07,2.571172103156972e-07,2.5733131710989676e-07,2.576892288791974e-07,2.587693551525831e-07,3.247295700304162e-07,3.564178699728053e-07,3.824371764853242e-07,3.847317504011429e-07,4.248260124697307e-07,6.570964614986845e-07,7.251355339872132e-07,8.264363957615016e-07,9.826662213816247e-07,1.1893564513300704e-06,1.5371311204979483e-06,1.8285931861416809e-06,2.143212303772424e-06,2.609249708308994e-06,3.1335883832009372e-06,3.855221004808991e-06
battery,energy,NO,2.483055544370588e-07,2.485992776354198e-07,2.4877427996104256e-07,2.4907475918533705e-07,2.499892007017641e-07,3.0168684535015107e-07,3.268634240366674e-07,3.4900166435281444e-07,3.520971009876534e-07,3.886422752389669e-07,5.682516452689135e-07,6.170290130648908e-07,6.982351165784123e-07,7.887276986110138e-07,9.101755344589313e-07,1.1316910488285941e-06,1.2928490802258718e-06,1.4892698005702463e-06,1.7827773657910907e-06,2.282553716859808e-06,2.95621995633383e-06
battery,energy,PL,2.6853007014987906e-07,2.6881033703081303e-07,2.68980835475875e-07,2.692688907296456e-07,2.69971067855657e-07,3.2506643316060466e-07,3.5280450683826337e-07,3.823613467016911e-07,3.846744656797478e-07,4.2497236228052367e-07,6.335123023493642e-07,7.104375739991464e-07,8.209374403674907e-07,9.330510223317189e-07,1.171352177207372e-06,1.5534016477474712e-06,1.8617706116828542e-06,2.2326988345505672e-06,2.5625288736023586e-06,3.3821996016883626e-06,4.412725472444014e-06
battery,energy,PT,2.507745674076088e-07,2.513234775858007e-07,2.5154257802412977e-07,2.519212799032214e-07,2.531881049105928e-07,3.110386633371529e-07,3.365845568074802e-07,3.6006877758293043e-07,3.628414811014006e-07,3.989701876249619e-07,5.764275547643193e-07,6.444219880748763e-07,7.303608953737648e-07,8.212808576533383e-07,9.358936215820902e-07,1.1624468766719168e-06,1.342946506090687e-06,1.6125537638623036e-06,1.9104751668687908e-06,2.2960253434255115e-06,2.7984184407062134e-06
battery,energy,RO,2.4940371289161564e-07,2.499936906356741e-07,2.5022008087214176e-07,2.506230980326406e-07,2.5221266659490426e-07,3.162649268403278e-07,3.403201812115108e-07,3.609802601071164e-07,3.6346196370587726e-07,4.0694472139879327e-07,6.485151374921756e-07,7.241578629924463e-07,8.39837643721669e-07,9.770210882367398e-07,1.1485105213302194e-06,1.513048834947692e-06,1.7996369532540034e-06,2.1510295086268795e-06,2.6594430346204338e-06,3.98128445548697e-06,6.420278735581175e-06
battery,energy,SE,2.635332002075266e-07,2.6381298665779796e-07,2.6398413716946687e-07,2.643019690217762e-07,2.652631426296779e-07,3.2185857371040003e-07,3.4939486221186405e-07,3.750283835776655e-07,3.781743085368251e-07,4.186848504147115e-07,5.92917174427579e-07,6.75739400186423e-07,7.689590603537744e-07,8.748188220857341e-07,1.0173859996518773e-06,1.294132729633938e-06,1.5125191763689733e-06,1.7649371912304986e-06,2.1323911684942635e-06,2.590350318788555e-06,3.51068926514136e-06
