technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,power,FI,4.1001279011877346e-07,4.922438852880467e-07,5.338863888675467e-07,5.808488241268031e-07,6.099011724340014e-07,6.411469545069324e-07,6.708842352837044e-07,6.986686808896996e-07,7.32042090608415e-07,7.732111964179476e-07,8.222281622817049e-07,8.802130604848059e-07,9.434800634715628e-07,1.0137585800733696e-06,1.0910393206211222e-06,1.1747204339429832e-06,1.2567550361465485e-06,1.3544340611848858e-06,1.480876502782473e-06,1.6325658459820122e-06,1.6252896437701454e-06
DAC,power,FR,4.431144574579126e-07,4.881992113091769e-07,5.260963266504599e-07,5.846136173879591e-07,6.278589997733104e-07,6.670462678711991e-07,7.056363095383846e-07,7.413938678776155e-07,7.726285036711832e-07,7.972600978284056e-07,8.335434711102271e-07,8.791340048264128e-07,9.336810927657481e-07,9.979680822416376e-07,1.0710927280008204e-06,1.149120706027702e-06,1.2281997460720555e-06,1.311323687695762e-06,1.407075643700129e-06,1.5342028187291259e-06,1.5537705812020135e-06
DAC,power,HR,4.399392268205682e-07,4.84920542011199e-07,5.203680987730306e-07,5.755726600547007e-07,6.18504376752462e-07,6.575724302637563e-07,6.965150652605818e-07,7.364873378920366e-07,7.772025522231159e-07,8.151762485771758e-07,8.490191319609679e-07,8.771465941650904e-07,9.155122601372808e-07,9.62118489172245e-07,1.0146607673755571e-06,1.0704838100650745e-06,1.1317683543010542e-06,1.2073551545728834e-06,1.2989590541723976e-06,1.4354499633597905e-06,1.4834564829844727e-06
DAC,power,HU,4.463361467021137e-07,4.900375138463234e-07,5.2465999626962e-07,5.773152493917213e-07,6.192601004421721e-07,6.569199824437754e-07,6.931062732930805e-07,7.267131897291478e-07,7.562284501036133e-07,7.793136191112673e-07,8.141022067771246e-07,8.565890045960177e-07,9.072224504198951e-07,9.627615147794715e-07,1.0248289173703165e-06,1.0947997074345647e-06,1.1773606660680208e-06,1.2699021917394703e-06,1.3709068724747637e-06,1.5072285474850442e-06,1.5601972646796494e-06
DAC,power,IE,3.877924477467303e-07,4.880810444546245e-07,5.349750298085683e-07,5.967105127983138e-07,6.270923041134879e-07,6.449294742780748e-07,6.705347534937832e-07,7.042277328905005e-07,7.453845066471475e-07,7.928820844745645e-07,8.467206714474208e-07,9.071110427746635e-07,9.692446909571336e-07,1.0395331257178377e-06,1.1189925445303852e-06,1.2062715700732675e-06,1.3065706421279936e-06,1.425967023710007e-06,1.5723716405748673e-06,1.7102597713626176e-06,1.7350448080397951e-06
DAC,power,IT,4.397404939361912e-07,4.838103259927498e-07,5.205631278308437e-07,5.751003949771983e-07,6.160764596893612e-07,6.464572489305408e-07,6.694931027223753e-07,6.861559581119147e-07,7.080939214617977e-07,7.38650958342666e-07,7.786163144105835e-07,8.243060437673961e-07,8.748850272613595e-07,9.288727623002322e-07,9.852284491987909e-07,1.0441554613265653e-06,1.107033870732934e-06,1.1814298265964764e-06,1.2707140138068341e-06,1.4050821405786725e-06,1.45335248716787e-06
DAC,power,LT,4.454979761918912e-07,4.892243362511054e-07,5.240224008331542e-07,5.763400038354829e-07,6.15904652378105e-07,6.508126251635122e-07,6.832810784130821e-07,7.116752363111535e-07,7.34751148764688e-07,7.665945309923086e-07,8.117812440969808e-07,8.610813870799818e-07,9.182697745238141e-07,9.846788050188968e-07,1.0594043523202544e-06,1.13999773418344e-06,1.2278631273486376e-06,1.329757466326293e-06,1.454007100617928e-06,1.6166279503739723e-06,1.6602509894838608e-06
DAC,power,LU,3.728698240884753e-07,4.79402320381786e-07,5.243033003669086e-07,5.898327721479848e-07,6.297220079669e-07,6.673600202419776e-07,7.048894500404582e-07,7.38873134515396e-07,7.677506124569466e-07,7.901414915651651e-07,8.204520317410803e-07,8.563304425637434e-07,8.97260107999806e-07,9.469899775781839e-07,1.0076252177824122e-06,1.0740467128589569e-06,1.1466166287231327e-06,1.2262096041187247e-06,1.3183171323490378e-06,1.4483392723994354e-06,1.4880108615158148e-06
DAC,power,LV,4.446590700952266e-07,4.893048175012943e-07,5.246659548562915e-07,5.773109759394431e-07,6.171455636123448e-07,6.537449382423917e-07,6.8960775469572e-07,7.237148646248017e-07,7.549881755828404e-07,7.799427485446717e-07,8.139147502385167e-07,8.524892363700008e-07,8.990350957620415e-07,9.56727112282489e-07,1.0240181019408823e-06,1.0978866387538169e-06,1.1782253499360995e-06,1.2738630437806295e-06,1.3950148466722848e-06,1.5515877337617411e-06,1.5820546306204087e-06
DAC,power,NL,3.712043027042469e-07,4.748455248170019e-07,5.169161715820502e-07,5.623824463412854e-07,5.87126609708279e-07,6.167026310027097e-07,6.490235062866856e-07,6.810536323399489e-07,7.113580179831653e-07,7.444135376728567e-07,7.840046970873571e-07,8.278353239479513e-07,8.762949145011817e-07,9.312641441679908e-07,9.91606962255348e-07,1.0602731927567062e-06,1.1347179278545957e-06,1.2143274763917111e-06,1.3006340868610006e-06,1.3985449106327202e-06,1.4592143405253312e-06
