technology,location,0,1,2,3,4,5
biomass_boiler,PL,167.19399047681182,111.0855748833123,94.6189670129147,92.81217666287898,99.71979301908871,106.62741089475018
biomass_boiler,PT,3.477981201463812,0.7186491127414073,0.11232816921927542,7.136923227891025e-07,7.74044225053211e-07,3.7971156737012675e-06
biomass_boiler,RO,44.998448894171396,46.54190509392137,45.66981891345389,44.79773249550873,26.057845789762734,21.859848350272166
biomass_boiler,SE,22.148200139494055,11.75952047853044,10.033626288141638,4.415674256530975,8.398060164779306e-07,1.61168597017265e-05
biomass_boiler,SI,8.42962949577365,6.615966285551888,6.4919987687661385,1.1036717813290156,1.1858133891036178,0.31903601183226743
biomass_boiler,SK,15.25196879962423,14.968966382588748,14.688483707861982,14.638575402587135,15.728062428333436,16.552661488632182
biomass_boiler,UK,49.5813819639328,11.083450784773401,5.311785865035955e-07,5.580586937750038e-07,7.044026546951502e-07,6.633005267498395e-06
biomass_plant,AT,9.376683108155857,8.957168935282462,8.931907524711326,0.9184598730011019,0.32249583298824497,5.241549939866536
biomass_plant,BE,20.08411975047987,19.21580823516912,16.328281699410972,12.94359631596733,0.6103140399387083,3.994451867977236e-06
biomass_plant,BG,0.5406259397385256,0.5160797094786271,0.5318587711251808,6.105598780556326e-07,1.0158286978675696e-06,2.3821523134288507e-05
biomass_plant,CH,2.1303298519297917,2.040980620657086,2.1942886999011093,0.9235035008004603,1.0391708469392245e-06,1.731668230491242e-05
biomass_plant,CZ,8.97298420561325,8.586700982113845,9.33444593663905,1.208642301135459,0.8994277380307045,4.5913385575675736e-05
biomass_plant,DE,104.64132343712173,89.26498778229622,70.20818130160359,35.94581046161449,2.9065928069841878,9.91935463425934
biomass_plant,DK,47.2802473338403,42.82163050644388,33.42881906865983,36.05256797723446,32.71272792718031,3.74012255117506e-05
biomass_plant,EE,5.0399576308385,4.821525581566979,4.4292436069136745,3.0274050132627033,1.2589992060119417,1.633167017311547e-05
biomass_plant,EL,2.7375495403119436,2.6628781162622275,1.3874111919607577,6.139682421784618e-07,7.904522432764903e-07,3.655324765704694e-06
biomass_plant,ES,31.757138840107306,30.329349877817275,25.016011041923928,20.65768773356862,12.417511921381495,5.3307797886931665
biomass_plant,FI,80.76277021180256,68.47880099444552,45.04720628842242,34.945643563938475,11.341208327161077,1.6413391846855104e-05
biomass_plant,FR,40.564935596653385,38.15249428456772,33.83523011926889,33.66284450025803,19.0351892071772,1.6868197736144334e-05
biomass_plant,HR,1.0094214409088562,0.956056475115871,0.8572224878701378,1.1088761150234463,0.9114869043606253,6.507348561692294
biomass_plant,HU,13.19805063483392,12.58207897292047,8.01741887462367,2.8719733899386473,0.05312805815592345,3.479558339063529e-05
biomass_plant,IE,1.4498884977923552,0.6442919299308889,0.3287093192208393,4.367421314788718e-07,6.892854525220398e-07,2.8449958715238177e-06
biomass_plant,IT,25.469543335193812,23.424931960751117,13.687218744405419,5.351539315843087,2.8466286729831833,1.0756374130131816e-05
biomass_plant,LT,1.1311340501376876,1.0843817674358154,1.1529288738969754,1.2483025692620977,0.9235443794990067,9.997570688872716e-06
biomass_plant,LU,2.486015364578124e-07,3.538473493548143e-07,4.6199768060947534e-07,6.378874731460551e-07,1.0392903903835846e-06,2.592419799686013e-05
biomass_plant,LV,1.6642903227405454,1.5927159704777742,1.6534829353486413,1.8326475830119964,1.2328015811490985e-06,1.445940724108772e-05
