technology,location,0,1,2,3,4,5,6,7,8,9
battery,IT,2.533606819709754e-07,2.3342421359549142e-07,2.5325118931485315e-07,3.452159591092381e-07,4.7429385092103576e-07,6.596963671388442e-07,8.32237828145228e-07,1.3525900997596723e-06,1.986294437425858e-06,7.227303692074661e-06
battery,LT,2.6458043191561623e-07,2.4349409131563114e-07,2.6924592845651805e-07,3.5396062617491217e-07,4.502222701663771e-07,5.640414325972764e-07,7.789985879680465e-07,1.173632927141989e-06,1.5693373902253026e-06,5.789947577830208e-06
battery,LU,2.5037033090674233e-07,2.3198055156792474e-07,2.606655148305166e-07,3.3700127072838673e-07,4.12929799192204e-07,5.009068413185127e-07,6.865893993986924e-07,1.1276760537952941e-06,1.6252276437551482e-06,5.992065337106772e-06
battery,LV,2.645990495550716e-07,2.436644669350883e-07,2.6907780852732525e-07,3.545212817333647e-07,4.519527556639275e-07,5.639230624464683e-07,7.804415121652902e-07,1.1969589644402517e-06,1.6097011499924258e-06,6.036971788864905e-06
battery,NL,2.5786811223764086e-07,2.3779516340176422e-07,2.6813429266640906e-07,3.599148924541496e-07,4.693778554420485e-07,5.957645992843769e-07,7.912265587154821e-07,1.275983652413983e-06,1.8789330869305966e-06,7.322200478199365e-06
battery,NO,2.6028305560927214e-07,2.3945312995765906e-07,2.6227805187886615e-07,3.431134891138448e-07,4.414259034951947e-07,5.395098484907398e-07,7.188506004504919e-07,1.098251720816317e-06,1.4728326728683924e-06,5.494431154355159e-06
battery,PL,2.6534554331690855e-07,2.4405183808175426e-07,2.74144514411488e-07,3.660737398886564e-07,4.912238892603649e-07,6.285590468439846e-07,8.761023279057643e-07,1.3598712541371645e-06,2.15932447778871e-06,8.482676533717785e-06
battery,PT,2.492417739572385e-07,2.2985497936799684e-07,2.4970100707287323e-07,3.2048492784725974e-07,4.0067614858291337e-07,4.984422556219661e-07,6.800475908020034e-07,9.586437441982954e-07,1.3468597842055474e-06,5.051655161461401e-06
battery,RO,2.543408779378581e-07,2.3431438404066643e-07,2.5994084039524073e-07,3.549444356277193e-07,4.815222880845218e-07,6.249720041658818e-07,8.506730614397244e-07,1.623447278231753e-06,2.6735823948756745e-06,9.33514836465953e-06
battery,SE,2.628240002060037e-07,2.417835937468527e-07,2.650814025301334e-07,3.4705343454949006e-07,4.481853697034388e-07,5.511221695418648e-07,7.610580969402893e-07,1.225024896203224e-06,1.694809967064322e-06,6.4611790330900825e-06
battery,SI,2.5406576182367096e-07,2.3403221898734794e-07,2.548237470764134e-07,3.591815250486146e-07,5.023143650936007e-07,6.505514632980107e-07,8.426788724172218e-07,1.5890457611047185e-06,2.2662523553603336e-06,8.660340106722562e-06
battery,SK,2.619160544878146e-07,2.410758163092666e-07,2.6897776611848335e-07,3.6700996564703193e-07,4.876995997611539e-07,6.460621352770105e-07,9.048048434035995e-07,1.641271871771464e-06,2.713592252896664e-06,1.0398920686931648e-05
battery,UK,2.519149568008826e-07,2.3312810798506365e-07,2.614064494272879e-07,3.380219225898262e-07,4.324772965358342e-07,5.166318831259453e-07,7.008721329824637e-07,1.0759825141554655e-06,1.402342991832402e-06,5.309550241426685e-06
biomass_boiler,AT,60.238400322315954,51.60763765613089,45.97871323183481,51.295557171695854,50.952920565279896,48.31870295601125,47.76510210692951,50.10284629478373,52.35790664685244,54.744835279254396
biomass_boiler,BE,20.983868280689947,20.920912927415923,13.75830409744445,7.1564791701415595,2.8142242140440215,5.775886063503603e-07,5.747676371174006e-07,5.855393660777661e-07,6.419119723656816e-07,2.160891514594864e-06
biomass_boiler,BG,38.670145017291915,35.25676913967908,32.026797220371776,30.825446414859606,27.09826892075371,22.342910792882787,11.715315942385716,11.797831889317681,12.316942383280532,12.836052895039229
biomass_boiler,CH,81.61781889621466,69.92388246216946,50.10536153900519,51.1295110253616,51.08511608248233,47.71932681501929,47.17259317920341,47.504849792325494,49.957581689811114,52.0631007066825
biomass_boiler,CZ,72.47541235320175,64.73889018710011,54.67683411134919,49.3056781965948,49.03327053619495,44.518452974969556,32.673326758154644,32.903458885220665,34.35122750789299,27.796696790227216
