technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9
biomass_boiler,power,AT,5.353402293153507,4.600185550422567,4.095158712334054,4.477197398508209,4.451156113514194,4.269397151514321,4.269397152702682,4.4470298639366375,4.45132409387094,4.466028674626496
biomass_boiler,power,BE,1.8648418280035397,1.8648418280954637,1.2254026903167112,0.6246344067535682,0.2458455997452187,5.103520996727296e-08,5.137456438121294e-08,5.197131979579463e-08,5.457357659480355e-08,1.7628335929289091e-07
biomass_boiler,power,BG,3.4366258384098822,3.1427069193055455,2.8525117047936948,2.690517777875243,2.3672563620352025,1.974199509924441,1.047152299922219,1.047152300150081,1.0471523004790102,1.0471523022399356
biomass_boiler,power,CH,7.253396778521635,6.2328532818185485,4.46270444339089,4.462704498627784,4.462704477730547,4.216436814574681,4.216436815188451,4.216436816091418,4.2472551194089885,4.247255461815644
biomass_boiler,power,CZ,6.440908732849289,5.77067505343779,4.869869072780054,4.3035160611392,4.283458916421893,3.9336104798742477,2.920446143259736,2.920446144486235,2.9204461456275306,2.2676266042597137
biomass_boiler,power,DE,25.845634157698615,24.740126049125983,17.624980981039254,16.385915722169173,13.323566608589624,8.68914420661472,5.17381252609727,5.173812526895879,3.6351727849843116,2.770963040908908
biomass_boiler,power,DK,3.0785274099136624,2.640566827428855,1.6602772789300435,1.553450161899385,1.0715028220114355,0.5116936358141901,0.45186687491253125,0.45186687497422195,0.4518668747210976,0.4518668772356418
biomass_boiler,power,EE,1.462791706957581,1.462791706443868,1.4627917084945314,1.4627917189529422,1.462791700365021,1.3298772436728494,1.3489857554545472,1.3740657087831056,1.4911055080263267,1.4314426841003591
biomass_boiler,power,EL,3.320676164112335,3.32067616415567,3.3206761642222222,2.6065127841807865,0.2686113391708432,0.26861133988031904,2.84035897494011e-08,4.551395990303329e-08,4.947295783218693e-08,1.328251670749405e-07
biomass_boiler,power,ES,4.295854873746068,3.9670276400396425,2.9218534074332396,1.1540631655697913,0.2464635263488783,0.24646352643839625,0.032871265024527495,0.03287126515410707,0.03287126547850372,0.03287126733630952
