technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9
battery,energy,SK,2.1198244867106382e-07,1.32696516622093e-09,9.893247237629015e-08,2.2153987547229616e-07,5.250990348933885e-07,4.5893807506971585e-07,7.728965391209472e-07,2.103141859954676e-06,3.3710652318243286e-06,2.0825938211432136e-05
battery,energy,UK,2.0388803391202888e-07,2.3890671589330603e-09,9.71756522983478e-08,1.8816861737559737e-07,4.6327059955042276e-07,2.9455291179929467e-07,5.865560343300506e-07,1.1862029479273937e-06,1.3982680381524334e-06,1.0652107217294985e-05
battery,power,AT,1.0454295417534118e-07,5.840799170513903e-10,4.9867404254969506e-08,1.0914249833455707e-07,2.5652710276416544e-07,2.1061090301298305e-07,3.044046869123394e-07,8.305211839284868e-07,1.2398281130832339e-06,7.854105134399523e-06
battery,power,BE,1.0238580013783787e-07,1.001692545305681e-09,4.9591298968494977e-08,1.0285865151802051e-07,2.429741990518227e-07,1.883133708818898e-07,3.0273224955917813e-07,7.650559635268491e-07,8.271557521081441e-07,6.7093248369777015e-06
battery,power,BG,1.0199820108218849e-07,8.284381079664827e-10,4.5351624515796816e-08,1.0425196220864703e-07,2.483325229355231e-07,1.996473277711866e-07,3.503316923854665e-07,6.911726744330814e-07,8.531153057324601e-07,9.391502785612078e-06
battery,power,CH,1.0359434291383514e-07,7.201033084651991e-10,4.874411896187908e-08,1.1629547411414222e-07,2.542765417593062e-07,2.265785814959539e-07,3.096604753839775e-07,8.91790270181292e-07,1.3726918864558786e-06,8.51480181138513e-06
battery,power,CZ,1.0619037793770557e-07,5.685226720551612e-10,4.9974343938657714e-08,1.0987070895411122e-07,2.5618840867335653e-07,2.2864299897292368e-07,3.05279083122002e-07,1.1017253806557955e-06,1.6219089859928162e-06,9.922629711453999e-06
battery,power,DE,1.0124320995608608e-07,7.125509427773365e-10,4.627495187421855e-08,1.0225698435565443e-07,2.492766296076872e-07,1.9487105744654271e-07,3.038859249291855e-07,7.697128248570477e-07,1.1980645680571845e-06,7.119935473279939e-06
battery,power,DK,1.0603646908422777e-07,6.809043366840733e-10,4.758944252198169e-08,1.037250374551564e-07,2.5242263385037137e-07,1.8587632394827694e-07,3.48071856046841e-07,6.589139565894186e-07,8.577587955988942e-07,6.497871500291534e-06
battery,power,EE,1.0717361259747258e-07,5.139547467606649e-10,4.742474278731021e-08,1.0113039962601812e-07,2.4243088476831766e-07,1.7596793822530128e-07,3.132420986151644e-07,6.659934677293736e-07,7.605228526137531e-07,5.698651959222897e-06
battery,power,EL,1.0424568050103335e-07,7.791967541083157e-10,4.629744892665669e-08,1.0142436345179202e-07,2.4275382828440766e-07,2.1328681294826096e-07,4.5502414094953303e-07,9.21929561016515e-07,1.3392653732122522e-06,1.1839102835548489e-05
battery,power,ES,1.003572039632411e-07,8.210231621063901e-10,4.264172692813166e-08,8.825011536117963e-08,2.151573454683399e-07,1.674797310624935e-07,2.9587509872291984e-07,5.642845809375768e-07,9.89233400356701e-07,5.440563497425615e-06
battery,power,FI,1.0590543734512002e-07,6.78423080250173e-10,4.697822738349009e-08,9.563846262515076e-08,2.3695027702506536e-07,1.78106271664752e-07,2.736124882226624e-07,7.444798922119754e-07,8.605452829472378e-07,6.2146476354347505e-06
battery,power,FR,1.0056356383547018e-07,1.2631792558896893e-09,4.796711992495237e-08,9.271509993125426e-08,2.1595954905800893e-07,1.5602727171289512e-07,2.9120039610388173e-07,6.19899603932227e-07,8.310899322898922e-07,5.638542629480102e-06
battery,power,HR,1.0340629642695754e-07,6.027804624084439e-10,4.4222286637558803e-08,9.975342500992022e-08,2.9796379635199604e-07,2.1477575523585328e-07,3.280700354420035e-07,9.20013189639231e-07,1.080424973218536e-06,7.255509487069683e-06
battery,power,HU,1.0277095620335632e-07,7.625625687378424e-10,4.632823011406955e-08,1.0659376533501364e-07,2.5994699618698756e-07,2.3777057789632674e-07,3.6998446931523945e-07,8.795974057555075e-07,1.1798910752311733e-06,7.88267613104779e-06
battery,power,IE,1.0357258015595434e-07,9.224918973524885e-10,5.1442134122250467e-08,9.707794723462935e-08,2.2703269433099027e-07,1.423286264364063e-07,2.8175175989766235e-07,5.204162346126461e-07,6.548390988902009e-07,4.713512542331178e-06
battery,power,IT,1.0252906769347491e-07,7.404833223556711e-10,4.372332502784649e-08,1.0404933515264418e-07,2.632963819647725e-07,2.549506024501723e-07,2.8760184016990397e-07,7.847164151994954e-07,1.1270743603541037e-06,7.208559507297688e-06
battery,power,LT,1.0706943478054221e-07,6.551299326313785e-10,4.855199694276291e-08,1.0112475518722259e-07,2.405772430894833e-07,1.7919380621089203e-07,3.307950400433073e-07,6.29556150298781e-07,7.9958972343589e-07,5.776970742229494e-06
battery,power,LU,1.0131894343778187e-07,1.3119005870290554e-09,4.866544811490188e-08,9.377212843436576e-08,2.1478016227146239e-07,1.4849032760101688e-07,2.936158935166402e-07,6.691933482270555e-07,8.968953780587082e-07,5.940308543734045e-06
battery,power,LV,1.0707696889831124e-07,7.229719229234947e-10,4.8379040158908065e-08,1.016300463369546e-07,2.416795745866098e-07,1.7763963562141018e-07,3.3231915857977416e-07,6.55913896953155e-07,8.231370695503441e-07,6.047098784436706e-06
battery,power,NL,1.043531179736502e-07,8.501908567874779e-10,5.042806287451166e-08,1.0609994974581262e-07,2.5016296965393795e-07,1.9478410981439434e-07,3.1401289660782276e-07,7.415206589707695e-07,1.07136566782284e-06,7.404582288853663e-06
battery,power,NO,1.053303883634349e-07,6.064236949976699e-10,4.629546273688351e-08,9.728101365786651e-08,2.390887675373152e-07,1.6201589676828457e-07,2.875445307897122e-07,6.028293081302005e-07,7.675000380743259e-07,5.494357110093043e-06
battery,power,PL,1.0737905724463524e-07,5.922754882411695e-10,5.114850997887075e-08,1.0709021184125966e-07,2.676781691553016e-07,2.08666982760673e-07,3.7442050927006685e-07,7.483617810831316e-07,1.3366966323690812e-06,8.582621696946382e-06
battery,power,PT,1.0086224316774993e-07,8.282381095892774e-10,4.324178729355937e-08,8.81254594197244e-08,2.156948826649437e-07,1.5615778643055442e-07,2.8352816974605643e-07,4.719270256517121e-07,7.526197622722624e-07,5.067784055187816e-06
battery,power,RO,1.0292572978744932e-07,7.376282173709501e-10,4.721233093826367e-08,1.0724108625012348e-07,2.628946138343645e-07,2.1361441830862355e-07,3.4630355748585446e-07,1.0862645079306639e-06,1.6574006233847872e-06,9.06181465995188e-06
