technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9
wind_onshore,power,IE,8.0636,8.0188,8.0042,7.9957,7.9475,7.9377,7.9258,7.8569,7.8057,9.8665
wind_onshore,power,IT,11.7145,11.7145,11.7145,11.6887,11.4403,11.2871,11.2343,10.7574,10.3494,10.0628
wind_onshore,power,LT,7.6381,7.6381,7.6381,7.6381,7.6381,7.6381,7.6379,7.6379,7.6372,7.6372
wind_onshore,power,LU,0.1416,0.1416,0.1416,0.1366,0.1366,0.1366,0.1354,0.1354,0.1342,0.1342
wind_onshore,power,LV,0.0471,0.0471,0.0471,0.0471,0.0445,0.0445,0.0227,0.0227,0.0227,0.0227
wind_onshore,power,NL,4.7003,4.6588,4.6326,4.627,4.5767,4.5664,4.3945,6.5985,7.6717,14.154
wind_onshore,power,NO,20.7641,20.7641,20.7604,20.7566,20.7566,20.7566,20.7166,20.7154,20.6602,21.4243
wind_onshore,power,PL,36.1712,36.1712,36.1712,36.1712,36.1712,36.1532,41.7318,42.6958,42.8922,43.9372
wind_onshore,power,PT,6.9311,6.9311,6.9306,6.9209,6.8854,6.8653,6.7405,6.6645,6.9009,7.2269
wind_onshore,power,RO,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147
wind_onshore,power,SE,10.6159,10.6159,10.6131,10.6125,10.5879,10.5643,10.5219,10.4503,10.4032,10.382
wind_onshore,power,SI,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
wind_onshore,power,SK,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0025,0.002,0.0
wind_onshore,power,UK,45.4613,45.407,45.3928,45.3641,45.3077,45.2287,45.1375,45.0241,44.902,51.8595
